Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes,10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.8182831544950715,0.6170128467543604,0.41649550281672165
10,0.009993072218188891,6.927781811109633e-07,0.000692778181110909,0.04997398400592139,2.6015994078613926e-06,0.0005203198815723065,0.05997835011647881,2.1649883521182696e-06,0.0003608313920198114,4.234565180996593e-08,4.234565180996593e-08,0.0008469130361993185,0.8184766462942076,0.6144677858089034,0.42798676543215003
20,0.009986148935122648,1.3851064877352576e-06,0.001385106487735266,0.049947868460795,5.2131539204998715e-06,0.0010426307841000515,0.05995725598470735,4.274401529264899e-06,0.0007124002548773989,8.469130361993186e-08,8.469130361993186e-08,0.001693826072398637,0.818275691748783,0.6169644194076108,0.41644340575497896
30,0.009979230175993193,2.076982400680836e-06,0.0020769824006807713,0.049921972592644824,7.802740735517572e-06,0.001560548147103602,0.059935175001064614,6.482499893538707e-06,0.0010804166489231104,1.270369554298978e-07,1.270369554298978e-07,0.002540739108597956,0.8182757297535486,0.6141404251672142,0.42789709931902103
40,0.009972315873695504,2.7684126304495703e-06,0.0027684126304496903,0.04989591523850103,1.0408476149896583e-05,0.0020816952299794744,0.059913936944307716,8.606305569228724e-06,0.0014343842615380797,1.6938260723986378e-07,1.6938260723986378e-07,0.0033876521447972754,0.8182748350930552,0.6169499687111697,0.41642567744886705
50,0.009965406081914176,3.4593918085823066e-06,0.003459391808582346,0.04986970660718375,1.3029339281624978e-05,0.002605867856325106,0.059893503608015326,1.06496391984676e-05,0.001774939866411196,2.1172825904982967e-07,2.1172825904982967e-07,0.004234565180996593,0.8182740559459265,0.6141038357509697,0.42792618879565664
60,0.00995850090036718,4.149909963281847e-06,0.004149909963282017,0.049843691542153575,1.5630845784642295e-05,0.0031261691569285377,0.059872232889812395,1.2776711018760339e-05,0.0021294518364600723,2.5407391085979556e-07,2.5407391085979556e-07,0.005081478217195911,0.818272118131946,0.6169310195445209,0.41640534074963637
70,0.009951600210044579,4.839978995542171e-06,0.004839978995542116,0.04981786124546201,1.8213875453799013e-05,0.003642775090759831,0.05985014403938186,1.4985596061814367e-05,0.0024975993436355814,2.964195626697615e-07,2.964195626697615e-07,0.00592839125339523,0.8182713546608272,0.6140752863485831,0.42794713594021533
80,0.009944703955572025,5.529604442797458e-06,0.005529604442797487,0.0497920547665867,2.0794523341330078e-05,0.004158904668266072,0.05982800234059293,1.7199765940707658e-05,0.0028666276567844706,3.3876521447972744e-07,3.3876521447972744e-07,0.006775304289594548,0.8182733342754247,0.6169244932164933,0.4163967099634435
90,0.009937812140313168,6.218785968683173e-06,0.006218785968683194,0.04976620693594989,2.3379306405010943e-05,0.00467586128100228,0.05980612299594479,1.93877004055213e-05,0.0032312834009201596,3.811108662896934e-07,3.811108662896934e-07,0.007622217325793867,0.8182744786293618,0.6140710996977145,0.4279571207538389
100,0.00993092476720771,6.907523279228933e-06,0.006907523279229055,0.049740279647050904,2.5972035294909276e-05,0.005194407058981998,0.05978469064415753,2.15309355842473e-05,0.003588489264041206,4.2345651809965933e-07,4.2345651809965933e-07,0.008469130361993185,0.8182807822170045,0.6169296043545707,0.4163980648188435
110,0.009924041838771415,7.595816122858521e-06,0.007595816122858534,0.04971426185646615,2.857381435338495e-05,0.00571476287067707,0.059763759360172114,2.362406398278855e-05,0.003937343997131415,4.6580216990962533e-07,4.6580216990962533e-07,0.009316043398192506,0.818282245506996,0.6140783401621601,0.42796648987341157
