Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
10,0.00999023020925858,9.769790741419947e-07,0.0009769790741419946,0.04999088183501212,9.11816498787459e-07,0.0001823632997574918,0.05999128869748451,8.711302515492228e-07,0.0001451883752582038,1.7893891250890873e-07,1.7893891250890873e-07,0.0035787782501781745
20,0.009980466226649892,1.9533773350108453e-06,0.0019533773350108447,0.0499817760450491,1.8223954950898033e-06,0.0003644790990179606,0.05998242765756362,1.7572342436381793e-06,0.00029287237393969655,3.578778250178174e-07,3.578778250178174e-07,0.007157556500356348
30,0.009970708169549588,2.929183045041294e-06,0.0029291830450412937,0.04997267234175511,2.732765824488448e-06,0.0005465531648976895,0.05997361463993174,2.638536006825997e-06,0.0004397560011376662,5.368167375267261e-07,5.368167375267261e-07,0.010736334750534522
40,0.009960956058329671,3.904394167033019e-06,0.0039043941670330183,0.049963568198601385,3.64318013986153e-06,0.000728636027972306,0.05996488193966135,3.511806033864993e-06,0.0005853010056441655,7.157556500356349e-07,7.157556500356349e-07,0.014315113000712698
50,0.009951209913362144,4.879008663785696e-06,0.004879008663785695,0.04995446108905913,4.553891094087182e-06,0.0009107782188174364,0.05995626185182493,4.373814817507484e-06,0.0007289691362512474,8.946945625445438e-07,8.946945625445438e-07,0.017893891250890876
60,0.009941469748199106,5.853025180089498e-06,0.005853025180089497,0.04994534839099087,5.4651609009128845e-06,0.0010930321801825768,0.05994778370079919,5.22162992008134e-06,0.0008702716533468901,1.0736334750534522e-06,1.0736334750534522e-06,0.021472669501069044
70,0.009931735305484442,6.826469451555908e-06,0.006826469451555906,0.04993622434473076,6.377565526924075e-06,0.0012755131053848148,0.059939352242366586,6.064775763341434e-06,0.0010107959605569058,1.252572387562361e-06,1.252572387562361e-06,0.025051447751247218
80,0.009922006452244102,7.799354775589878e-06,0.007799354775589878,0.04992708680372896,7.291319627103576e-06,0.0014582639254207151,0.059930907832436466,6.909216756353834e-06,0.0011515361260589722,1.4315113000712697e-06,1.4315113000712697e-06,0.028630226001425393
90,0.009912283197474697,8.771680252530469e-06,0.008771680252530467,0.04991793593179103,8.206406820897049e-06,0.0016412813641794096,0.05992244948716315,7.755051283685207e-06,0.001292508547280868,1.6104502125801785e-06,1.6104502125801785e-06,0.03220900425160357
