Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2_{V_2},Added Buffer,Diavolumes
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
10,0.009995690315288953,7.326464008779682e-07,0.00043096847110468716,0.049987474739258485,2.129294326057651e-06,0.00025050521483031184,0.05998831610909186,1.986261454383271e-06,0.00019473151513561482,2.49634074943658e-07,2.49634074943658e-07,0.0029368714699253883
20,0.009991379283816524,1.4655217511909123e-06,0.0008620716183475954,0.04997494472893112,4.259396081710152e-06,0.0005011054213776649,0.05997655122961617,3.9862909652512965e-06,0.00039081283973051926,4.99268149887316e-07,4.99268149887316e-07,0.005873742939850777
30,0.009987066805164114,2.1986431221006114e-06,0.0012933194835885948,0.049962399710177345,6.392049269851722e-06,0.0007520057964531436,0.05996481549256831,5.981366263387088e-06,0.0005864084571948126,7.48902224830974e-07,7.48902224830974e-07,0.008810614409776164
40,0.00998275273095474,2.9320357376941007e-06,0.0017247269045259413,0.04994983477166244,8.528088817385045e-06,0.0010033045667511816,0.05995313351934787,7.967301710861322e-06,0.0007811080108687572,9.985362997746323e-07,9.985362997746323e-07,0.011747485879701555
50,0.009978436913249743,3.665724747543624e-06,0.002156308675025661,0.04993724503680437,1.0668343743257434e-05,0.0012550992639126391,0.05994152956968706,9.939973153198894e-06,0.0009745071718822445,1.2481703747182902e-06,1.2481703747182902e-06,0.014684357349626942
60,0.009974119316509624,4.399716193363744e-06,0.002588068349037496,0.0499246331208463,1.281236945612955e-05,0.0015073375830740646,0.059929955345695424,1.190759123177666e-05,0.0011674109050761432,1.4978044496619482e-06,1.4978044496619482e-06,0.01762122881955233
70,0.00996979998824446,5.13400199844171e-06,0.003020001175553947,0.04991200335110689,1.4959430311829594e-05,0.0017599329778623049,0.05991836329481291,1.387823988180352e-05,0.001360611753117992,1.747438524605606e-06,1.747438524605606e-06,0.02055810028947772
80,0.009965478936886128,5.868580729358094e-06,0.0034521063113871135,0.04989935591781509,1.7109493971435684e-05,0.0020128816436983154,0.059906752875982586,1.585201108295946e-05,0.0015541187336234766,1.997072599549264e-06,1.997072599549264e-06,0.023494971759403106
90,0.009961156170866509,6.603450952693471e-06,0.0038843829133491004,0.04988669101119985,1.9262528096025944e-05,0.002266179776003052,0.059895123548147494,1.7828996814924467e-05,0.001747940864208281,2.2467066744929222e-06,2.2467066744929222e-06,0.026431843229328494
100,0.00995683169861748,7.338611235028413e-06,0.004316830138252008,0.04987400882149013,2.14185003466785e-05,0.0025198235701974704,0.05988347477025071,1.9809289057378527e-05,0.0019420871624880908,2.4963407494365803e-06,2.4963407494365803e-06,0.029368714699253885
110,0.00995250552857092,8.074060142943495e-06,0.004749447142907938,0.04986130953891488,2.357737838447147e-05,0.002773809221702525,0.059871806001235275,2.179297979000163e-05,0.002136566646078591,2.745974824380238e-06,2.745974824380238e-06,0.032305586169179265
120,0.00994817766915871,8.80979624301929e-06,0.005182233084128993,0.04984859335370304,2.5739129870482978e-05,0.0030281329259391736,0.059860116700044264,2.378016099247376e-05,0.0023313883325954666,2.9956088993238965e-06,2.9956088993238965e-06,0.03524245763910466
130,0.009943848128812726,9.545818101836371e-06,0.005615187118727276,0.04983586045608358,2.7903722465791145e-05,0.003282790878328369,0.05984840632562073,2.5770924644474908e-05,0.0025265612396544027,3.2452429742675545e-06,3.2452429742675545e-06,0.038179329109030054
140,0.009939516915964852,1.028212428597531e-05,0.006048308403514887,0.04982311103628545,3.0071123831474098e-05,0.0035377792742910695,0.05983667433690773,2.7765362725685055e-05,0.0027220943848710838,3.4948770492112126e-06,3.4948770492112126e-06,0.04111620057895544
150,0.00993518403904696,1.1018713362016683e-05,0.006481596095303931,0.049810345284537594,3.224130162860995e-05,0.0037930943092482293,0.059824920192848324,2.9763567215784195e-05,0.0029179967858611955,3.7445111241548707e-06,3.7445111241548707e-06,0.04405307204888083
160,0.009930849506490935,1.1755583896541064e-05,0.006915049350906507,0.049797563391068965,3.441422351827684e-05,0.004048732178620803,0.05981314335238557,3.1765630094452314e-05,0.003114277460240423,3.9941451990985275e-06,3.9941451990985275e-06,0.046989943518806206
170,0.009926513326728652,1.2492734456129024e-05,0.007348667327134719,0.049784765546108514,3.6589857161552875e-05,0.004304689077829749,0.05980134327446253,3.3771643341369394e-05,0.00331094542562445,4.243779274042186e-06,4.243779274042186e-06,0.0499268149887316
180,0.009922175508191992,1.3230163607361139e-05,0.007782449180800669,0.049771951939885206,3.876817021951618e-05,0.00456096120229602,0.059789519418022255,3.578169893621541e-05,0.0035080096996289614,4.493413348985844e-06,4.493413348985844e-06,0.05286368645865698
190,0.009917836059312835,1.396786991681798e-05,0.008216394068716458,0.04975912276262798,4.0949130353244885e-05,0.004817544747440574,0.059777671242007814,3.779588885867039e-05,0.0037054792998696463,4.7430474239295025e-06,4.7430474239295025e-06,0.05580055792858238
200,0.009913494988523057,1.4705851951080123e-05,0.00865050114769419,0.049746278204565786,4.3132705223817114e-05,0.005074435908684366,0.059765798205362264,3.9814305088414285e-05,0.003903363243962185,4.99268149887316e-06,4.99268149887316e-06,0.058737429398507755
210,0.00990915230425454,1.544410827672814e-05,0.009084769574545962,0.04973341845592759,4.5318862492310965e-05,0.005331630881448348,0.059753899767028655,4.1837039605127086e-05,0.004101670549522264,5.242315573816819e-06,5.242315573816819e-06,0.06167430086843315
220,0.00990480801493916,1.6182637460342604e-05,0.009519198506083883,0.04972054370694233,4.75075698198046e-05,0.005589125861153481,0.05974197538595006,4.386418438848879e-05,0.004300410234165567,5.491949648760476e-06,5.491949648760476e-06,0.06461117233835853
230,0.009900462129008799,1.6921438068504092e-05,0.009953787099120053,0.04970765414783897,4.969879486737613e-05,0.00584691704322072,0.05973002452106953,4.589583141817939e-05,0.004499591315507783,5.741583723704135e-06,5.741583723704135e-06,0.06754804380828393
240,0.009896114654895333,1.7660508667793173e-05,0.010388534510466571,0.04969474996884645,5.1892505296103635e-05,0.006105000623071015,0.05971804663133012,4.793207267387886e-05,0.004699222811164593,5.991217798647792e-06,5.991217798647792e-06,0.07048491527820931
250,0.009891765601030644,1.8399847824790423e-05,0.01082343989693554,0.04968183136019374,5.40886687670653e-05,0.006363372796125329,0.05970604117567489,4.997300013526719e-05,0.0048993137387516855,6.240851873591451e-06,6.240851873591451e-06,0.07342178674813471
260,0.009887414975846609,1.9139454106076416e-05,0.011258502415339067,0.049668898512109774,5.62872529413392e-05,0.0066220297578046105,0.05969400761304691,5.201870578202436e-05,0.005099873115884741,6.49048594853511e-06,6.49048594853511e-06,0.07635865821806011
270,0.009883062787775107,1.987932607823172e-05,0.011693721222489246,0.049655951614823515,5.848822548000348e-05,0.00688096770352982,0.059681945402389226,5.406928159383038e-05,0.0053009099601794485,6.740120023478767e-06,6.740120023478767e-06,0.07929552968798549
280,0.009878709045248018,2.061946230783692e-05,0.012129095475198188,0.04964299085856391,6.0691554044136265e-05,0.0071401828287219115,0.059669854002644906,5.612481955036521e-05,0.005502433289251491,6.989754098422426e-06,6.989754098422426e-06,0.08223240115791089
290,0.00987435375669722,2.1359861361472573e-05,0.012564624330277982,0.04963001643355991,6.289720629481567e-05,0.0073996713288018426,0.059657732872757004,5.8185411631308845e-05,0.0057044521207165536,7.239388173366083e-06,7.239388173366083e-06,0.08516927262783627
300,0.009869996930554592,2.2100521805719268e-05,0.013000306944540746,0.04961702853004048,6.510514989311982e-05,0.007659429399190566,0.059645581471668575,6.025114981634128e-05,0.005906975472190321,7.489022248309742e-06,7.489022248309742e-06,0.08810614409776167
310,0.009865638575252014,2.2841442207157577e-05,0.013436142474798574,0.04960402733823455,6.731535250012683e-05,0.007919453235309038,0.059633399258322686,6.232212608514251e-05,0.006110012361288481,7.7386563232534e-06,7.7386563232534e-06,0.09104301556768704
320,0.009861278699221364,2.358262113236806e-05,0.013872130077863563,0.049591013048371095,6.952778177691482e-05,0.008179739032578215,0.059621185691662394,6.439843241739249e-05,0.006313571805626714,7.988290398197058e-06,7.988290398197058e-06,0.09397988703761244
330,0.00985691731195643,2.432405696740709e-05,0.01430826880435711,0.04957798585653749,7.174240438862804e-05,0.008440282869250358,0.059608940437599685,6.648012560805225e-05,0.006517659373338455,8.237924473140714e-06,8.237924473140714e-06,0.09691675850753781
340,0.009852554484721818,2.5065737597291033e-05,0.014744551527818252,0.04956494626307609,7.395913527706615e-05,0.008701074738478368,0.0595966756389387,6.85651413804192e-05,0.006722072684354823,8.487558548084371e-06,8.487558548084371e-06,0.09985362997746318
350,0.009848190257499589,2.5807656225069963e-05,0.015180974250041153,0.04955189448510852,7.617793753155249e-05,0.008962110297829702,0.05958439866673785,7.065222665456385e-05,0.006926688887702338,8.73719262302803e-06,8.73719262302803e-06,0.10279050144738858
360,0.009843824631412377,2.6549812659895994e-05,0.015617536858762347,0.04953883050486115,7.839881417360546e-05,0.009223389902777112,0.059572109563942516,7.274137412977103e-05,0.0071315072676246104,8.986826697971687e-06,8.986826697971687e-06,0.10572737291731396
370,0.009839457607582817,2.7292206710921247e-05,0.01605423924171838,0.04952575430456034,8.062176822474349e-05,0.009484913908793349,0.05955980837349808,7.483257650532562e-05,0.007336527108365257,9.236460772915346e-06,9.236460772915346e-06,0.10866424438723936
380,0.009835089187133543,2.803483818729784e-05,0.016491081286645788,0.04951266586643245,8.284680270648497e-05,0.00974668267135117,0.05954749513834992,7.692582648051246e-05,0.007541747694167888,9.486094847859003e-06,9.486094847859003e-06,0.11160111585716474
390,0.009830719371187189,2.8777706898177898e-05,0.016928062881281115,0.04949956517270384,8.50739206403483e-05,0.010008696545923328,0.059535169901443426,7.902111675461642e-05,0.00774716830927612,9.735728922802662e-06,9.735728922802662e-06,0.11453798732709014
400,0.009826348160866392,2.9520812652713533e-05,0.0173651839133609,0.04948645220560088,8.730312504785192e-05,0.010270955887982576,0.05952283270572398,8.111844002692236e-05,0.007952788237933564,9.98536299774632e-06,9.98536299774632e-06,0.11747485879701551
410,0.009821975557293782,3.0264155260056866e-05,0.017802444270621685,0.049473326947349926,8.95344189505142e-05,0.010533461053001668,0.05951048359413696,8.321778899671513e-05,0.008158606764383836,1.0234997072689978e-05,1.0234997072689978e-05,0.12041173026694091
420,0.009817601561592,3.1007734529360014e-05,0.018239843840800005,0.04946018938017734,9.176780536985359e-05,0.010796212396453361,0.05949812260962776,8.53191563632796e-05,0.00836462317287055,1.0484631147633636e-05,1.0484631147633636e-05,0.12334860173686629
430,0.009813226174883677,3.17515502697751e-05,0.018677382511632413,0.049447039486309484,9.400328732738846e-05,0.011059210273810405,0.05948574979514175,8.742253482590063e-05,0.008570836747637317,1.0734265222577295e-05,1.0734265222577295e-05,0.1262854732067917
440,0.009808849398291446,3.249560229045424e-05,0.01911506017085543,0.04943387724797273,9.624086784463725e-05,0.011322455040545557,0.059473365193624325,8.952791708386307e-05,0.008777246772927752,1.0983899297520952e-05,1.0983899297520952e-05,0.12922234467671706
450,0.009804471232937944,3.3239890400549554e-05,0.01955287670620562,0.04942070264739343,9.848054994311835e-05,0.011585947052131569,0.059460968848020865,9.163529583645178e-05,0.008983852532985469,1.1233533372464609e-05,1.1233533372464609e-05,0.13215921614664244
460,0.009800091679945805,3.398441440921316e-05,0.0199908320054195,0.04940751566679795,0.00010072233664435018,0.011849686664041195,0.059448560801276744,9.374466378295163e-05,0.009190653312054082,1.1483167447408268e-05,1.1483167447408268e-05,0.13509608761656786
470,0.009795710740437663,3.472917412559718e-05,0.02042892595623363,0.04939431628841265,0.00010296623096985112,0.012113674231747189,0.05943614109633736,9.585601362264748e-05,0.009397648394377204,1.1732801522351927e-05,1.1732801522351927e-05,0.13803295908649324
480,0.009791328415536154,3.547416935885373e-05,0.020867158446384544,0.049381104494463895,0.00010521223594113963,0.012377910110722307,0.05942370977614808,9.796933805482417e-05,0.009604837064198448,1.1982435597295584e-05,1.1982435597295584e-05,0.14096983055641862
490,0.009786944706363912,3.621939991813493e-05,0.02130552936360878,0.04936788026717804,0.00010746035457973407,0.0126423946564393,0.05941126688365431,0.0001000846297787666,0.00981221860576143,1.2232069672239241e-05,1.2232069672239241e-05,0.143906702026344
500,0.009782559614043571,3.6964865612592896e-05,0.021744038595642876,0.049354643588781465,0.00010971058990715286,0.012907128224370921,0.059398812461801405,0.00010220188149375957,0.010019792303309762,1.2481703747182899e-05,1.2481703747182899e-05,0.1468435734962694
510,0.009778173139697767,3.771056625137975e-05,0.02218268603022338,0.04934139444150051,0.00011196294494491443,0.01317211116998993,0.059386346553534766,0.00010432108589908799,0.010227557441087057,1.273133782212656e-05,1.273133782212656e-05,0.1497804449661948
520,0.009773785284449131,3.8456501643647614e-05,0.022621471555086828,0.049328132807561556,0.00011421742271453717,0.013437343848769077,0.059373869201799774,0.00010644223569403668,0.010435513303336929,1.2980971897070216e-05,1.2980971897070216e-05,0.1527173164361202
530,0.009769396049420303,3.92026715985486e-05,0.023060395057969762,0.04931485866919095,0.0001164740262375395,0.013702826616181114,0.05936138044954181,0.00010856532357789053,0.010643659174302992,1.3230605972013874e-05,1.3230605972013874e-05,0.15565418790604557
540,0.009765005435733913,3.9949075925234836e-05,0.023499456426608726,0.04930157200861507,0.00011873275853543981,0.013968559827698799,0.059348880339706256,0.0001106903422499344,0.010851994338228864,1.3480240046957531e-05,1.3480240046957531e-05,0.15859105937597093
550,0.009760613444512598,4.069571443285843e-05,0.02393865554874025,0.049288272808060266,0.00012099362262975652,0.014234543838794881,0.059336368915238503,0.00011281728440945312,0.011060518079358149,1.372987412190119e-05,1.372987412190119e-05,0.16152793084589634
560,0.00975622007687899,4.14425869305715e-05,0.02437799231210088,0.0492749610497529,0.00012325662154200805,0.014500779004942121,0.059323846219083924,0.00011494614275573157,0.011269229681934468,1.3979508196844849e-05,1.3979508196844849e-05,0.16446480231582175
