Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes,10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.49168663681325153,0.16814140602895022,0.1260101738737614
10,0.009989383704466392,1.0616295533608255e-06,0.0010616295533607545,0.04998193581908013,1.8064180919873891e-06,0.0003612836183974899,0.059982999153520636,1.7000846479359427e-06,0.0002833474413227455,1.08e-07,1.08e-07,0.00216,0.4926853392555513,0.1681384391889715,0.13436575052000085
20,0.009978775283361805,2.1224716638193797e-06,0.002122471663819514,0.04996387778353181,3.6122216468190087e-06,0.0007224443293637473,0.05996632439608415,3.3675603915843407e-06,0.0005612600652641353,2.1599999999999998e-07,2.1599999999999998e-07,0.004319999999999999,0.49168877127900407,0.16814312010350504,0.12601145900163266
30,0.009968174885891128,3.1825114108872515e-06,0.003182511410887212,0.04994591112809042,5.408887190957826e-06,0.0010817774381916,0.059948997888450734,5.100211154925916e-06,0.0008500351924877192,3.24e-07,3.24e-07,0.00648,0.4916886024022886,0.16728369928693035,0.13369465597473684
40,0.009957582427724529,4.241757227546978e-06,0.0042417572275471604,0.049927782527734395,7.221747226560952e-06,0.001444349445312132,0.059933687886654124,6.63121133458732e-06,0.0011052018890979065,4.3199999999999995e-07,4.3199999999999995e-07,0.008639999999999998,0.49169122050318315,0.16806984979287884,0.12595501514319027
50,0.009946998117962827,5.300188203717344e-06,0.005300188203717249,0.04990981546065082,9.018453934918909e-06,0.0018036907869836138,0.05991730252944502,8.269747055497472e-06,0.0013782911759162575,5.4e-07,5.4e-07,0.0108,0.4916912446861697,0.1672120519019224,0.13365403107608836
60,0.009936421464971501,6.35785350284988e-06,0.006357853502849897,0.04989198853636234,1.0801146363766603e-05,0.002160229272753167,0.059899391687453424,1.0060831254657452e-05,0.001676805209109622,6.48e-07,6.48e-07,0.01296,0.49169122743699534,0.16803013106258602,0.1259244434918904
70,0.009925852410073967,7.414758992603332e-06,0.007414758992603354,0.049874136197036185,1.2586380296381779e-05,0.002517276059276319,0.059881691011289304,1.1830898871069703e-05,0.0019718164785115233,7.56e-07,7.56e-07,0.01512,0.4916898975543921,0.16715965588885412,0.13362335167129322
80,0.009915291081405913,8.470891859408714e-06,0.008470891859408747,0.04985621152308165,1.4378847691835546e-05,0.00287576953836699,0.059864907447677626,1.3509255232237149e-05,0.002251542538706186,8.64e-07,8.64e-07,0.01728,0.49169492282538185,0.16792836853158774,0.125846258775693
90,0.009904737548874519,9.526245112548155e-06,0.00952624511254807,0.04983820708407708,1.6179291592292245e-05,0.0032358583184584067,0.059849223522093556,1.5077647790643983e-05,0.0025129412984407073,9.72e-07,9.72e-07,0.01944,0.4917009649885196,0.16706916931695748,0.13357310745836523
100,0.009894191824158452,1.05808175841549e-05,0.010580817584154856,0.04982015493876991,1.7984506123009438e-05,0.0035969012246018783,0.05983429733876244,1.6570266123755657e-05,0.0027617110206259454,1.08e-06,1.08e-06,0.0216,0.4917231279782697,0.16783123517450269,0.1257704984048431
110,0.009883653860707867,1.1634613929213311e-05,0.011634613929213278,0.049802126635076625,1.9787336492337922e-05,0.003957467298467576,0.05981926258065981,1.8073741934018882e-05,0.0030122903223365194,1.1879999999999999e-06,1.1879999999999999e-06,0.023759999999999996,0.49172686800693605,0.16698689676185274,0.13353167939891614
