Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes
0,0.0125,0.0,0.0,0.0625,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0
10,0.0124978802298832,2.1197701167406366e-07,0.0001695816093393,0.062492040961412,7.959038587951582e-07,0.0001273446174072,0.074993403721292,6.596278708003738e-07,8.795038277331635e-05,8.888888888888887e-09,8.888888888888887e-09,0.00010457516339869278
20,0.0124957608148667,4.239185133215097e-07,0.0003391348106572,0.0624840960573323,1.59039426676828e-06,0.0002544630826829,0.0749867612664661,1.3238733533862038e-06,0.0001765164471181,1.7777777777777777e-08,1.7777777777777777e-08,0.0002091503267973856
30,0.0124936417536737,6.358246326268189e-07,0.0005086597061014,0.0624761366433423,2.386335665768603e-06,0.000381813706523,0.0749801746011862,1.9825398813757512e-06,0.0002643386508499,2.6666666666666677e-08,2.6666666666666677e-08,0.00031372549019607855
40,0.0124915230457943,8.476954205658881e-07,0.0006781563364527,0.0624681619711005,3.1838028899421104e-06,0.0005094084623907,0.0749736463702877,2.635362971228603e-06,0.000351381729497,3.5555555555555594e-08,3.5555555555555594e-08,0.00041830065359477165
50,0.0124894046908795,1.0595309120427384e-06,0.0008476247296341,0.0624602030146366,3.979698536333216e-06,0.0006367517658133,0.074967066150237,3.2933849762936344e-06,0.0004391179968391,4.444444444444444e-08,4.444444444444444e-08,0.000522875816993464
60,0.0124872866889337,1.271331106628178e-06,0.0010170648853026,0.0624522599500879,4.774004991202915e-06,0.0007638407985924,0.0749604332922566,3.956670774337307e-06,0.0005275561032449,5.3333333333333334e-08,5.3333333333333334e-08,0.0006274509803921569
70,0.0124851690400967,1.4830959903217369e-06,0.0011864767922574,0.0624443211146388,5.567888536117158e-06,0.0008908621657787,0.0749537893791476,4.621062085235067e-06,0.0006161416113645,6.222222222222221e-08,6.222222222222221e-08,0.0007320261437908495
80,0.0124830517444693,1.6948255530696072e-06,0.0013558604424557,0.0624363837645575,6.361623544250169e-06,0.00101785976708,0.0749471442091107,5.285579088925401e-06,0.0007047438785232,7.111111111111112e-08,7.111111111111112e-08,0.0008366013071895425
90,0.0124809348021359,1.9065197864039528e-06,0.0015252158291231,0.0624284456626225,7.155433737741438e-06,0.0011448693980385,0.0749405057731566,5.949422684336273e-06,0.0007932563579113,8e-08,8e-08,0.0009411764705882352
100,0.0124788182131655,2.118178683442912e-06,0.0016945429467543,0.062420505078123,7.949492187695725e-06,0.0012719187500312,0.0749338802551061,6.611974489385133e-06,0.0008815965985845,8.88888888888889e-08,8.88888888888889e-08,0.0010457516339869282
110,0.012476701977611,2.329802238890596e-06,0.0018638417911125,0.0624125607868581,8.743921314183053e-06,0.0013990274102693,0.0749272720315902,7.272796840978908e-06,0.0009697062454638,9.77777777777778e-08,9.77777777777778e-08,0.0011503267973856212
120,0.0124745860955096,2.541390449037086e-06,0.0020331123592297,0.0624046120711376,9.538792886238718e-06,0.0015262068617981,0.0749206836720498,7.931632795014013e-06,0.0010575510393351,1.066666666666667e-07,1.066666666666667e-07,0.001254901960784314
130,0.0124724705668824,2.7529433117584422e-06,0.0022023546494067,0.0623966587197813,1.0334128021863275e-05,0.0016534604834981,0.0749141159387362,8.58840612637634e-06,0.0011451208168502,1.1555555555555559e-07,1.1555555555555559e-07,0.0013594771241830068
140,0.0124703553917348,2.9644608265166936e-06,0.0023715686612134,0.0623887010281197,1.1129897188022553e-05,0.0017807835500835,0.0749075677867106,9.243221328941268e-06,0.0012324295105253,1.2444444444444448e-07,1.2444444444444448e-07,0.0014640522875816997
150,0.0124682405700564,3.17594299435984e-06,0.0025407543954879,0.0623807397979935,1.192602020064764e-05,0.0019081632321036,0.0749010363638442,9.89636361557365e-06,0.001319515148743,1.3333333333333344e-07,1.3333333333333344e-07,0.0015686274509803934
160,0.0124661261018207,3.3873898179218604e-06,0.0027099118543374,0.0623727763377536,1.2722366224634902e-05,0.0020355785959416,0.0748945170108187,1.0548298918127827e-05,0.0014064398557502,1.422222222222223e-07,1.422222222222223e-07,0.0016732026143790857
170,0.0124640119869857,3.598801301422703e-06,0.0028790410411382,0.0623648124622615,1.3518753773845958e-05,0.0021630006038153,0.0748880032611255,1.1199673887447622e-05,0.0014932898516597,1.511111111111112e-07,1.511111111111112e-07,0.0017777777777777787
180,0.0124618982254933,3.810177450668289e-06,0.0030481419605346,0.0623568504928889,1.4314950711107708e-05,0.0022903921137772,0.0748814868410663,1.185131589336634e-05,0.0015801754524488,1.600000000000001e-07,1.600000000000001e-07,0.0018823529411764717
190,0.0124597848172694,4.021518273050513e-06,0.0032172146184404,0.0623488932575178,1.5110674248212309e-05,0.0024177078797139,0.0748749576697529,1.2504233024706762e-05,0.0016672310699608,1.6888888888888904e-07,1.6888888888888904e-07,0.001986928104575165
