Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
10,0.0099907937876335,9.206212366488952e-07,0.0009206212366488,0.0499687147185774,3.12852814225274e-06,0.0006257056284504,0.0599729198987787,2.708010122123241e-06,0.0004513350203539,6.584128477826066e-08,6.584128477826066e-08,0.0007746033503324783
20,0.0099815948882694,1.8405111730531608e-06,0.0018405111730531,0.0499374810382439,6.251896175601513e-06,0.0012503792351202,0.0599455971548645,5.440284513540962e-06,0.0009067140855902,1.3168256955652132e-07,1.3168256955652132e-07,0.0015492067006649566
30,0.0099724032856983,2.7596714301611022e-06,0.002759671430161,0.049906222305159,9.377769484094864e-06,0.0018755538968189,0.0599185304398667,8.146956013326547e-06,0.0013578260022211,1.97523854334782e-07,1.97523854334782e-07,0.0023238100509974354
40,0.0099632189624005,3.678103759949309e-06,0.0036781037599492,0.0498749134573503,1.2508654264965584e-05,0.0025017308529929,0.0598918798460349,1.081201539650168e-05,0.0018020025660836,2.6336513911304264e-07,2.6336513911304264e-07,0.0030984134013299133
50,0.0099540418995687,4.595810043126813e-06,0.0045958100431268,0.0498435529786313,1.564470213686523e-05,0.0031289404273728,0.059865648687955,1.3435131204495682e-05,0.0022391885340826,3.292064238913033e-07,3.292064238913033e-07,0.0038730167516623916
60,0.0099448720829903,5.512791700967981e-06,0.0055127917009678,0.0498121991721594,1.878008278406e-05,0.0037560165568119,0.0598394456381194,1.6055436188058174e-05,0.002675906031343,3.95047708669564e-07,3.95047708669564e-07,0.004647620101994871
70,0.0099357095097437,6.4290490256283486e-06,0.0064290490256283,0.0497808576533772,2.1914234662276705e-05,0.0043828469324552,0.0598132340998133,1.867659001866248e-05,0.0031127650031104,4.608889934478246e-07,4.608889934478246e-07,0.005422223452327348
80,0.0099265541774131,7.344582258680662e-06,0.0073445822586806,0.0497495296637755,2.504703362244272e-05,0.0050094067244884,0.0597870067240279,2.1299327597200493e-05,0.0035498879328668,5.267302782260853e-07,5.267302782260853e-07,0.0061968268026598265
90,0.009917406083583,8.259391641697663e-06,0.0082593916416975,0.0497182164448451,2.8178355515485432e-05,0.0056356711030969,0.0597607561617543,2.392438382456411e-05,0.0039873973040941,5.925715630043459e-07,5.925715630043459e-07,0.006971430152992304
100,0.0099082652258374,9.173477416252095e-06,0.0091734774162519,0.0496869192380766,3.130807619233224e-05,0.0062616152384663,0.0597344750639835,2.6552493601645227e-05,0.0044254156002742,6.584128477826066e-07,6.584128477826066e-07,0.007746033503324783
110,0.0098991316017608,1.00868398239167e-05,0.0100868398239165,0.0496556392849609,3.443607150391053e-05,0.0068872143007819,0.0597081560817066,2.9184391829335746e-05,0.0048640653048892,7.242541325608672e-07,7.242541325608672e-07,0.00852063685365726
120,0.0098900052089373,1.0999479106264228e-05,0.010999479106264,0.0496243778269885,3.7562217301147695e-05,0.0075124434602293,0.0596817918659147,3.182081340852757e-05,0.0053034689014213,7.900954173391279e-07,7.900954173391279e-07,0.00929524020398974
130,0.0098808860449513,1.1911395504867414e-05,0.0119113955048673,0.0495931361056503,4.068638943497112e-05,0.0081372778869941,0.0596553750675988,3.4462493240112595e-05,0.0057437488733521,8.559367021173886e-07,8.559367021173886e-07,0.010069843554322219
140,0.009871774107387,1.2822589261299008e-05,0.0128225892612989,0.0495619153624369,4.380846375630819e-05,0.0087616927512614,0.0596288983377501,3.711016622498271e-05,0.0061850277041638,9.217779868956492e-07,9.217779868956492e-07,0.010844446904654696
150,0.0098626693938286,1.3733060617131744e-05,0.0137330606171316,0.0495307168388391,4.69283161160863e-05,0.0093856632232171,0.0596023543273597,3.9764567264029824e-05,0.0066274278773382,9.876192716739098e-07,9.876192716739098e-07,0.011619050254987173
160,0.0098535719018606,1.4642809813938377e-05,0.0146428098139382,0.0494995417763476,5.004582236523284e-05,0.0100091644730464,0.0595757356874185,4.242643125814583e-05,0.0070710718763576,1.0534605564521706e-06,1.0534605564521706e-06,0.012393653605319653
170,0.009844481629067,1.5551837093291647e-05,0.0155518370932914,0.0494683914164532,5.31608583546752e-05,0.0106321716709349,0.0595490350689177,4.5096493108222633e-05,0.0075160821847037,1.119301841230431e-06,1.119301841230431e-06,0.013168256955652127
180,0.0098353985730323,1.646014269676429e-05,0.0164601426967642,0.0494372670006466,5.627329993534076e-05,0.0112546599870679,0.0595222451228484,4.777548771515213e-05,0.0079625812858586,1.1851431260086917e-06,1.1851431260086917e-06,0.013942860305984607
190,0.0098263227313407,1.7367726865929064e-05,0.017367726865929,0.0494061697704184,5.938302295815694e-05,0.0118766045916313,0.0594953585002017,5.04641499798262e-05,0.0084106916633044,1.2509844107869526e-06,1.2509844107869526e-06,0.01471746365631709
