Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes,10nm_sieving_coefficient,180nm_sieving_coefficient,300nm_sieving_coefficient
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.4401060876846963,0.13127250738950808,0.09923588588889054
10,0.009989195453993833,1.0804546006168085e-06,0.001080454600616676,0.04998395647377036,1.604352622964117e-06,0.00032087052459284227,0.05998472784399132,1.5272156008677662e-06,0.00025453593347790626,1.2279289112514997e-07,1.2279289112514997e-07,0.0024558578225029994,0.4413062515748631,0.13168785894195936,0.10595919485926261
20,0.00997839814304887,2.1601856951130624e-06,0.002160185695112893,0.049967879327866484,3.2120672133518885e-06,0.0006424134426703532,0.059969959462898605,3.0040537101396713e-06,0.0005006756183565386,2.4558578225029984e-07,2.4558578225029984e-07,0.004911715645005996,0.44011724781918865,0.13143175199461551,0.09935851902194213
30,0.00996760786995986,3.2392130040143445e-06,0.0032392130040140854,0.04995187439501583,4.8125604984171484e-06,0.0009625120996833436,0.059954203364035584,4.579663596441414e-06,0.0007632772660736142,3.683786733754498e-07,3.683786733754498e-07,0.007367573467508996,0.44011746474349805,0.1307781571796158,0.1052400393433277
40,0.00995682485513892,4.317514486108352e-06,0.004317514486108065,0.04993573469146863,6.426530853137873e-06,0.0012853061706274982,0.05994010059520385,5.989940479615254e-06,0.0009983234132692198,4.911715645005999e-07,4.911715645005999e-07,0.009823431290011998,0.44011554317972057,0.1312816143148514,0.09924279688676917
50,0.009946048954812865,5.395104518713696e-06,0.0053951045187135005,0.04991958928223855,8.041071776145406e-06,0.001608214355228954,0.059925986929344574,7.401307065542432e-06,0.0012335511775903862,6.139644556257496e-07,6.139644556257496e-07,0.012279289112514991,0.4401140711791155,0.13067110034165455,0.10517269910475086
60,0.009935279982856142,6.472001714386064e-06,0.006472001714385778,0.04990358238836573,9.64176116342785e-06,0.001928352232685393,0.05991004409202079,8.99559079792075e-06,0.0014992651329868156,7.367573467508995e-07,7.367573467508995e-07,0.01473514693501799,0.44011396152569693,0.13124972954542144,0.0992185451490539
70,0.009924518179836812,7.548182016318962e-06,0.007548182016318794,0.04988759303907429,1.1240696092571485e-05,0.002248139218514189,0.05989393767983199,1.0606232016800517e-05,0.0017677053361334627,8.595502378760495e-07,8.595502378760495e-07,0.01719100475752099,0.4401137878476293,0.1306493151535504,0.10515873813445642
80,0.009913763671175583,8.62363288244187e-06,0.008623632882441723,0.04987157293673028,1.28427063269723e-05,0.0025685412653944084,0.05987833704947288,1.2166295052711938e-05,0.0020277158421185826,9.823431290011994e-07,9.823431290011994e-07,0.019646862580023985,0.44012578638594707,0.13125116599083428,0.09921952748611833
90,0.00990301652287371,9.69834771262924e-06,0.009698347712629007,0.04985549848022598,1.4450151977402153e-05,0.002890030395480414,0.05986357020263247,1.3642979736752551e-05,0.0022738299561254616,1.1051360201263496e-06,1.1051360201263496e-06,0.02210272040252699,0.4401317430637086,0.13064612647990528,0.10515872722194518
100,0.009892276741512997,1.077232584870051e-05,0.01077232584870036,0.04983937076497992,1.6062923502008782e-05,0.003212584700401644,0.05984962378599413,1.5037621400587203e-05,0.002506270233431196,1.2279289112514998e-06,1.2279289112514998e-06,0.024558578225029996,0.4401616623612446,0.13125805867882745,0.09922438031302527
110,0.009881544274255801,1.184557257442008e-05,0.011845572574419871,0.04982321558293685,1.7678441706315793e-05,0.0035356883412630546,0.05983614309123552,1.6385690876448068e-05,0.002730948479407913,1.3507218023766499e-06,1.3507218023766499e-06,0.027014436047532998,0.44016759788691995,0.1306745254781279,0.10518213452417843
120,0.009870819008845028,1.2918099115497335e-05,0.012918099115497239,0.04980708342256778,1.9291657743222676e-05,0.003858331548644456,0.05982243205502865,1.7756794497134634e-05,0.0029594657495224386,1.4735146935018e-06,1.4735146935018e-06,0.029470293870036,0.4401746140909615,0.13128703329425703,0.09924653163466018
130,0.009860100774219754,1.3989922578024829e-05,0.01398992257802456,0.04979104553103806,2.0895446896194498e-05,0.004179089379238832,0.059807496727498716,1.9250327250128197e-05,0.0032083878750214234,1.596307584626949e-06,1.596307584626949e-06,0.03192615169253898,0.44017126547204777,0.1306337270977917,0.10515572834872168
140,0.009849389454856113,1.5061054514388965e-05,0.015061054514388772,0.04977506220558103,2.2493779441897384e-05,0.0044987558883793355,0.05979162128369568,2.083787163043193e-05,0.003472978605071897,1.7191004757520989e-06,1.7191004757520989e-06,0.03438200951504198,0.4402044659988466,0.1310317811684907,0.09904949436711677
150,0.009838685142094706,1.613148579052972e-05,0.016131485790529476,0.04975908471927111,2.4091528072889538e-05,0.004818305614577856,0.059775458484677246,2.2454151532275113e-05,0.0037423585887125244,1.841893366877249e-06,1.841893366877249e-06,0.036837867337544974,0.44022515083904584,0.13040621746880235,0.10501732866630388
160,0.009827987940681177,1.7201205931882465e-05,0.017201205931882346,0.049743103157477014,2.5689684252298957e-05,0.005137936850459712,0.05975925636047195,2.407436395280508e-05,0.004012393992134156,1.9646862580023987e-06,1.9646862580023987e-06,0.03929372516004797,0.4403397631143107,0.13109170836858586,0.09909407498992565
170,0.009817297938435221,1.8270206156478166e-05,0.018270206156477897,0.049727109858565245,2.7289014143476157e-05,0.005457802828695124,0.05974321453970963,2.567854602903739e-05,0.004279757671506235,2.0874791491275487e-06,2.0874791491275487e-06,0.04174958298255097,0.44036166398214144,0.13055062344075183,0.10512908984052352
180,0.009806615206250568,1.9338479374943387e-05,0.01933847937494315,0.04971109941390006,2.8890058609994146e-05,0.005778011721998766,0.05972748424962144,2.725157503785584e-05,0.0045419291729760225,2.2102720402526988e-06,2.2102720402526988e-06,0.044205440805053973,0.44038570527669885,0.13120876243095578,0.09918403168212148
190,0.009795939798095,2.0406020190500294e-05,0.020406020190500085,0.04969506866784352,3.049313321564844e-05,0.0060986266431296565,0.05971216831603988,2.878316839601245e-05,0.004797194732668708,2.333064931377849e-06,2.333064931377849e-06,0.046661298627556975,0.44038062279066137,0.13050112770771086,0.1050962947117299
200,0.009785271751010335,2.1472824898966653e-05,0.021472824898966514,0.04967901671775544,3.209832822445706e-05,0.00641966564489127,0.05969732116339872,3.0267883660127476e-05,0.0050446472766879635,2.455857822502999e-06,2.455857822502999e-06,0.04911715645005998,0.44050881587192336,0.13119555541180247,0.09917279349592295
210,0.009774611085112444,2.2538891488755813e-05,0.022538891488755652,0.0496629449139934,3.370550860066053e-05,0.006741101720131981,0.05968294881473311,3.170511852668939e-05,0.005284186421114834,2.5786507136281493e-06,2.5786507136281493e-06,0.051573014272562986,0.440574700645348,0.1306178349001732,0.10519343971562337
220,0.009763957803591235,2.3604219640876738e-05,0.023604219640876445,0.04964685685991279,3.5314314008721885e-05,0.007062862801744285,0.05966900889167945,3.309911083205489e-05,0.00551651847200918,2.701443604753299e-06,2.701443604753299e-06,0.054028872095065975,0.44089321680951565,0.13145330268064337,0.09936740150195199
230,0.009753311892710663,2.4668810728933983e-05,0.024668810728933677,0.04963075841186674,3.692415881332665e-05,0.007384831762665245,0.05965541061447551,3.4458938552448915e-05,0.005743156425408125,2.8242364958784493e-06,2.8242364958784493e-06,0.056484729917568983,0.4409701101703047,0.13117563812947086,0.10560556489570692
240,0.009742673321808726,2.57326678191277e-05,0.02573266781912742,0.04961465767920618,3.853423207938287e-05,0.007706846415876489,0.05964201480196035,3.579851980396463e-05,0.0059664199673273854,2.9470293870035994e-06,2.9470293870035994e-06,0.058940587740071985,0.44104006919977495,0.13175797840486528,0.09960040162307049
250,0.009732042043297466,2.6795795670253642e-05,0.026795795670253364,0.0495985650242798,4.0143497572021086e-05,0.008028699514404103,0.05962863387157437,3.713661284256342e-05,0.006189435473760496,3.0698222781287494e-06,3.0698222781287494e-06,0.06139644556257499,0.4410175489927502,0.13084503126552546,0.10539089157334948
260,0.00972141799266297,2.785820073370317e-05,0.02785820073370293,0.04958249306243406,4.175069375659435e-05,0.008350138751318736,0.05961503183935925,3.849681606407491e-05,0.006416136010679141,3.1926151692539003e-06,3.1926151692539003e-06,0.063852303385078,0.4413151542417417,0.1316416001222358,0.09950831202430724
270,0.00971080108846537,2.8919891153463216e-05,0.02891989115346294,0.049566456662013224,4.335433379867821e-05,0.008670866759735607,0.05960092431995803,3.990756800419692e-05,0.006651261334032821,3.3154080603790503e-06,3.3154080603790503e-06,0.066308161207581,0.44144735312600775,0.13084506341611835,0.10544172807559589
280,0.00970019123233884,2.9980876766116338e-05,0.02998087676611605,0.0495504729443593,4.495270556407071e-05,0.008990541112814054,0.05958597852661504,4.1402147338495565e-05,0.006900357889749298,3.4382009515042007e-06,3.4382009515042007e-06,0.06876401903008401,0.4421622794669664,0.13153871648218884,0.09941993969612105
290,0.009689588307286827,3.104116927131749e-05,0.03104116927131728,0.049534522630351706,4.6547736964829955e-05,0.009309547392965967,0.059570285250726565,4.297147492734332e-05,0.007161912487890554,3.560993842629348e-06,3.560993842629348e-06,0.07121987685258695,0.44233152425611044,0.13161670675830112,0.10606022287395173
300,0.009678992312504615,3.2100768749538623e-05,0.03210076874953849,0.04951856868871787,4.8143131128213766e-05,0.009628626225642534,0.05955429306021937,4.457069397806305e-05,0.007428448996343762,3.683786733754498e-06,3.683786733754498e-06,0.07367573467508995,0.442496230382807,0.13235095362978802,0.10004150849602553
310,0.009668403311939156,3.31596688060846e-05,0.03315966880608445,0.049502608420028196,4.973915799718116e-05,0.00994783159943613,0.059538107794076985,4.618922059230148e-05,0.007698203432050188,3.806579624879648e-06,3.806579624879648e-06,0.07613159249759295,0.4424415506083526,0.13079239898307732,0.10552551425185874
320,0.009657821364229147,3.4217863577085426e-05,0.03421786357708534,0.049486639484354354,5.133605156456545e-05,0.010267210312913,0.05952182468397721,4.7817531602279496e-05,0.007969588600379773,3.9293725160047974e-06,3.9293725160047974e-06,0.07858745032009594,0.4430090264710905,0.13161807660737804,0.09947255773363446
330,0.009647246522686989,3.5275347731301324e-05,0.03527534773130114,0.04947065988242563,5.293401175743775e-05,0.010586802351487345,0.05950552856360017,4.944714363998348e-05,0.00824119060666384,4.052165407129948e-06,4.052165407129948e-06,0.08104330814259895,0.4432954458573309,0.13117825974932582,0.10587298221743292
340,0.009636678835298774,3.6332116470122775e-05,0.03633211647012269,0.04945466795562894,5.453320443710702e-05,0.010906640887421326,0.05948929386862835,5.107061313716523e-05,0.008511768856194202,4.1749582982550975e-06,4.1749582982550975e-06,0.08349916596510194,0.4447049725729186,0.13219479275255994,0.09989888955497689
350,0.009626118344724297,3.738816552757047e-05,0.037388165527570294,0.04943866238600881,5.613376139912001e-05,0.011226752279823837,0.05947318463674658,5.268153632534201e-05,0.008780256054223723,4.297751189380248e-06,4.297751189380248e-06,0.08595502378760496,0.44504146534536293,0.1332164757145891,0.10743269450641928
360,0.009615565088297048,3.844349117029535e-05,0.03844349117029522,0.049422642196267394,5.773578037326129e-05,0.011547156074652176,0.059457254507642034,5.4274549235796535e-05,0.009045758205966092,4.4205440805053975e-06,4.4205440805053975e-06,0.08841088161010795,0.44533840588246365,0.133614459600907,0.10098460936947766
370,0.009605019098024217,3.949809019757859e-05,0.03949809019757833,0.04940660674976448,5.933932502355326e-05,0.011867865004710487,0.05944154672300423,5.584532769957696e-05,0.009307554616596159,4.543336971630548e-06,4.543336971630548e-06,0.09086673943261095,0.4452332227123235,0.13106849421015646,0.10602950462046691
380,0.009594480400586686,4.055195994133158e-05,0.04055195994133143,0.04939055575051745,6.094442494825611e-05,0.012188884989651094,0.05942609412652503,5.7390587347496896e-05,0.009565097891249374,4.666129862755698e-06,4.666129862755698e-06,0.09332259725511395,0.4462101384210953,0.13235648744068368,0.10000881722769983
390,0.009583949017339043,4.160509826609598e-05,0.04160509826609571,0.04937448924320133,6.255107567986785e-05,0.012510215135973501,0.059410919163898644,5.89080836101354e-05,0.009818013935022574,4.788922753880847e-06,4.788922753880847e-06,0.09577845507761694,0.44670155505665293,0.1321181216458861,0.10687647421722166
400,0.009573424964309565,4.265750356904362e-05,0.04265750356904352,0.04935840761314877,6.415923868512433e-05,0.012831847737024726,0.05939603388282163,6.0396611717837e-05,0.010066101952972861,4.911715645005998e-06,4.911715645005998e-06,0.09823431290011995,0.449111750813665,0.13393915377282034,0.10119637597912357
