Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes
0,0.0175,0.0,0.0,0.08750000000000001,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0
10,0.017492766186031433,1.2297483746563605e-06,0.0004133607982038186,0.08747165588361845,4.81849978486667e-06,0.0003239327586464988,0.10497464963060489,4.309562797167787e-06,0.00024143208947718695,5.017456358763923e-08,5.017456358763923e-08,0.0005902889833839909
20,0.017485535531544853,2.4589596373746762e-06,0.0008265410545797231,0.08744333352156103,9.633301334628017e-06,0.0006476168964455808,0.10494924544862663,8.628273733472785e-06,0.00048337667974637446,1.0034912717527846e-07,1.0034912717527846e-07,0.0011805779667679818
30,0.01747830806420578,3.687629085017045e-06,0.0012395391882410233,0.08741499220211035,1.445132564124246e-05,0.0009715176901675602,0.10492396352929388,1.292620002003845e-05,0.0007241568638677004,1.505236907629177e-07,1.505236907629177e-07,0.0017708669501519728
40,0.01747108381477232,4.915751488705345e-06,0.0016523534415816285,0.08738661681663921,1.9275141171336683e-05,0.00129580780983776,0.10489887116429647,1.7191902069597735e-05,0.0009631317686049153,2.006982543505569e-07,2.006982543505569e-07,0.0023611559335359636
50,0.01746386274333963,6.143333632262949e-06,0.002064986094878302,0.08735823275355871,2.4100431895021553e-05,0.0016201971021863229,0.1048738562480036,2.144443783938475e-05,0.0012013690666321988,2.508728179381961e-07,2.508728179381961e-07,0.002951444916919954
60,0.01745664482183444,7.3703802881451334e-06,0.0024774387523176914,0.08732985715316544,2.892428396187842e-05,0.0019444896781094733,0.10484884309437914,2.5696673955545275e-05,0.001439589577341472,3.0104738152583534e-07,3.0104738152583534e-07,0.003541733900303945
70,0.01744943005044105,8.596891425021391e-06,0.002889711403368535,0.08730149053197737,3.3746609563849814e-05,0.002268679634544525,0.10482382962414828,2.9948963894791012e-05,0.0016778131033496364,3.512219451134746e-07,3.512219451134746e-07,0.004132022883687936
80,0.017442218429343757,9.822867011561214e-06,0.0033018040374995675,0.0872731334065125,3.856732089287825e-05,0.0025927610684287894,0.10479881375803626,3.420166113383366e-05,0.0019160594472735944,4.013965087011138e-07,4.013965087011138e-07,0.004722311867071927
90,0.01743500995872686,1.104830701643409e-05,0.0037137166441795263,0.0872447862932888,4.338633014090625e-05,0.00291672807669958,0.10477379341676832,3.845511914938492e-05,0.002154348411730248,4.5157107228875304e-07,4.5157107228875304e-07,0.005312600850455918
