Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2_{V_2},Added Buffer,Diavolumes
0,0.0125,0.0,0.0,0.0625,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0
10,0.012492756411818597,1.231409990838571e-12,0.0005794870545122686,0.062482579370696366,2.9615069816184246e-12,0.00027873006885820466,0.07498403815809314,2.713513124166282e-12,0.00021282455875813977,1.0681419035042986e-07,1.0681419035042986e-07,0.001256637533534469
20,0.012485515394056327,2.462383010424637e-12,0.0011587684754939464,0.06246520228576921,5.91561141923416e-12,0.0005567634276926267,0.07496769730424663,5.491458278073056e-12,0.0004307026100449456,2.1362838070085972e-07,2.1362838070085972e-07,0.002513275067068938
30,0.012478276991151007,3.692911504329083e-12,0.0017378407079195683,0.06244782323153163,8.870050639623872e-12,0.0008348282954940113,0.0749513858384974,8.264407455442671e-12,0.0006481888200347193,3.204425710512896e-07,3.204425710512896e-07,0.0037699126006034067
40,0.012471041187467743,4.922998130483814e-12,0.002316705002580618,0.062430438115350574,1.1825520390402135e-11,0.0011129901543907891,0.07493512937320158,1.1028006555732248e-11,0.0008649416906456666,4.2725676140171944e-07,4.2725676140171944e-07,0.005026550134137876
50,0.012463807967371643,6.152645546820737e-12,0.0028953626102685816,0.062413042844593036,1.478271641918352e-11,0.00139131448651139,0.0749189535207153,1.3777901478398917e-11,0.0010806197237959935,5.340709517521493e-07,5.340709517521493e-07,0.0062831876676723445
60,0.012456577315227814,7.381856411271754e-12,0.0034738147817749425,0.06239563332662599,1.7742334473582606e-11,0.0016698667739842453,0.07490288389339471,1.65097381228998e-11,0.001294881421403906,6.408851421025792e-07,6.408851421025792e-07,0.007539825201206813
70,0.01244934921540136,8.610633381768778e-12,0.0040520627678911885,0.06237820546881639,2.0705070301213968e-11,0.001948712498937785,0.07488694610359593,1.9219162388692028e-11,0.00150738528538761,7.476993324530092e-07,7.476993324530092e-07,0.008796462734741283
80,0.01244212365225739,9.838979116243708e-12,0.004630107819408803,0.06236075517853122,2.3671619649692176e-11,0.00222791714350044,0.07487116576367511,2.1901820175232717e-11,0.001717789817665311,8.54513522803439e-07,8.54513522803439e-07,0.010053100268275751
90,0.012434900605742455,1.106689702378266e-11,0.005207951540603603,0.06234328486027771,2.6641573752790352e-11,0.002507442235556739,0.07485551129214564,2.4563080335241388e-11,0.0019265161047248148,9.613277131538687e-07,9.613277131538687e-07,0.01130973780181022
100,0.012427680058146118,1.2294390115160154e-11,0.005785595348310659,0.06232580826785633,2.961259446442477e-11,0.0027870677142988014,0.07483985670777257,2.7224359678661842e-11,0.0021352438963656347,1.0681419035042987e-06,1.0681419035042987e-06,0.012566375335344689
110,0.012420462009994688,1.3521458300903332e-11,0.006363039200425097,0.06230832613172599,3.2584557606582793e-11,0.0030667818923842626,0.07482419580702561,2.9886712805645846e-11,0.0023440559063251645,1.1749560938547285e-06,1.1749560938547285e-06,0.013823012868879159
120,0.012413246462459627,1.4748101381863545e-11,0.006940283003229903,0.06229083852693129,3.555745042168064e-11,0.0033465835690993546,0.07480852826509263,3.2550194934252256e-11,0.002552956465431549,1.2817702842051585e-06,1.2817702842051585e-06,0.015079650402413628
130,0.0124060334167124,1.597431915889215e-11,0.00751732666300807,0.06227334552851686,3.8531260152134514e-11,0.003626471543730307,0.07479285375716153,3.5214861282539935e-11,0.002761949904512936,1.3885844745555883e-06,1.3885844745555883e-06,0.016336287935948098
140,0.012398822873924468,1.7200111432840494e-11,0.008094170086042584,0.06225584721152729,4.150597404036063e-11,0.003906444615563353,0.0747771719584202,3.788076706856774e-11,0.00297104055439747,1.4953986649060181e-06,1.4953986649060181e-06,0.017592925469482566
