Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes
0,0.0175,0.0,0.0,0.08750000000000001,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0
10,0.017494135866270622,9.969027339945973e-07,0.00033509335596448864,0.08747676345870736,3.950212019751079e-06,0.0002655604719159488,0.10497942860030673,3.49713794785553e-06,0.00019591809231678248,3.6412672021389115e-08,3.6412672021389115e-08,0.00042838437672222484
20,0.01748827347060406,1.9935099973101667e-06,0.00067008739405372,0.0874535434285408,7.897617148067816e-06,0.0005309322452481391,0.10495881416306527,7.00159227890383e-06,0.0003922460660450433,7.282534404277823e-08,7.282534404277823e-08,0.0008567687534444497
30,0.017482412804643372,2.9898232106273802e-06,0.0010049825918073685,0.08743031173675335,1.184700475193301e-05,0.0007964372942474984,0.10493826492278138,1.049496312716493e-05,0.0005879531163677232,1.0923801606416735e-07,1.0923801606416735e-07,0.0012851531301666746
40,0.01747655386078936,3.985843665809386e-06,0.0013397793834653005,0.08740705811868914,1.5800119822848103e-05,0.001062192929267125,0.10491781970631257,1.397064992686135e-05,0.0007826694636897669,1.4565068808555649e-07,1.4565068808555649e-07,0.0017135375068888998
50,0.017470696635506905,4.981571963826748e-06,0.0016744779710341495,0.08738378990272448,1.9755716536839753e-05,0.0013281153974346038,0.10489744978215951,1.7433537032882987e-05,0.0009766687413379493,1.8206336010694558e-07,1.8206336010694558e-07,0.002141921883611124
60,0.01746484113136858,5.977007667341798e-06,0.002009078207509729,0.08736052620662976,2.3710544872942675e-05,0.0015939862099456636,0.10487708155090267,2.0896136346546532e-05,0.0011706518961650536,2.184760321283347e-07,2.184760321283347e-07,0.002570306260333349
70,0.01745898734865956,6.972150727875402e-06,0.0023435800765967407,0.08733726735694389,2.766454931954101e-05,0.0018598016349270496,0.10485671381783261,2.4358650968455836e-05,0.0013646303063560294,2.548887041497238e-07,2.548887041497238e-07,0.002998690637055574
80,0.01745313528764927,7.967001099624657e-06,0.0026779835628989446,0.08731401359372028,3.1617689067554175e-05,0.0021255589289111976,0.10483634572085551,2.7821227454563204e-05,0.001558612182328445,2.913013761711129e-07,2.913013761711129e-07,0.0034270750137777987
90,0.01744728494860714,8.961558736786667e-06,0.003012288651020545,0.08729076515701235,3.556992330790159e-05,0.002391255348430321,0.10481597639787753,3.128401236082094e-05,0.001752605734499646,3.2771404819250204e-07,3.2771404819250204e-07,0.0038554593905000237
100,0.0174414363318026,9.955823593558528e-06,0.003346495325565746,0.08726752228687353,3.9521211231502684e-05,0.002656888150016967,0.10479560498680482,3.474715224318135e-05,0.0019466191732874227,3.6412672021389115e-07,3.6412672021389115e-07,0.004283843767222248
110,0.01743558943750508,1.0949795624137338e-05,0.003680603571138419,0.08724428522335721,4.347151202927686e-05,0.0029224545902033494,0.10477523062554354,3.821079365759672e-05,0.00214066070910901,4.005393922352802e-07,4.005393922352802e-07,0.004712228143944472
120,0.017429744265984003,1.19434747827202e-05,0.004014613372342768,0.08722105420651681,4.742078489214355e-05,0.0031879519255222366,0.10475485245199988,4.1675083160019374e-05,0.0023347385523820874,4.369520642566694e-07,4.369520642566694e-07,0.005140612520666698
130,0.017423900817508803,1.293686102350421e-05,0.004348524713782775,0.08719782947640577,5.136898901102218e-05,0.0034533774125056205,0.10473446960407999,4.514016730640161e-05,0.0025288609135238893,4.7336473627805844e-07,4.7336473627805844e-07,0.005568996897388922
140,0.017418059092348906,1.3929954300686469e-05,0.0046823375800626454,0.08717461127307746,5.531608357683215e-05,0.00371872830768627,0.10471408121969002,4.860619265269572e-05,0.002723036002952206,5.097774082994476e-07,5.097774082994476e-07,0.005997381274111148
150,0.017412219090773746,1.4922754568464075e-05,0.005016051955786027,0.08715139983658535,5.926202778049291e-05,0.003984001867596176,0.10469368643673616,5.2073305754854e-05,0.0029172720310841616,5.461900803208367e-07,5.461900803208367e-07,0.006425765650833372
160,0.017406380813052742,1.591526178103413e-05,0.00534966782555768,0.08712819540698281,6.320678081292386e-05,0.004249195348767887,0.10467328439312454,5.554165316882878e-05,0.003111577208337657,5.826027523422258e-07,5.826027523422258e-07,0.006854150027555597
170,0.017400544259455336,1.690747589259373e-05,0.00568318517398092,0.08710499822432329,6.715030186504441e-05,0.004514306007733948,0.10465287422676134,5.901138145057234e-05,0.003305959745130038,6.19015424363615e-07,6.19015424363615e-07,0.007282534404277823
180,0.017394709430250944,1.7899396857339975e-05,0.006016603985660396,0.08708180852866017,7.109255012777401e-05,0.004779331101026796,0.10463245507555272,6.248263715603701e-05,0.0035004278518788734,6.554280963850041e-07,6.554280963850041e-07,0.007710918781000047
190,0.017388876325709002,1.8891024629469965e-05,0.006349924245199978,0.08705862656004688,7.503348479203205e-05,0.005044267885178533,0.10461202607740484,6.595556684117505e-05,0.0036949897390015085,6.918407684063931e-07,6.918407684063931e-07,0.008139303157722272
200,0.01738304494609894,1.98823591631808e-05,0.0066831459372035384,0.08703545255853684,7.8973065048738e-05,0.005309113616721928,0.1045915863702239,6.94303170619388e-05,0.0038896536169152895,7.282534404277822e-07,7.282534404277822e-07,0.008567687534444497
210,0.017377215291690184,2.087340041266958e-05,0.007016269046275281,0.08701228676418347,8.29112500888112e-05,0.005573865552188972,0.104571135091916,7.290703437428053e-05,0.004084427696038118,7.646661124491714e-07,7.646661124491714e-07,0.008996071911166722
220,0.01737138736275216,2.1864148332133397e-05,0.007349293557019521,0.08698912941704018,8.684799910317114e-05,0.005838520948112325,0.10455067138038733,7.638586533415261e-05,0.004279320186787339,8.010787844705605e-07,8.010787844705605e-07,0.009424456287888947
230,0.017365561159554302,2.285460287576937e-05,0.007682219454040018,0.08696598075716037,9.07832712827372e-05,0.00610307706102442,0.10453019437354408,7.986695649750725e-05,0.004474339299580188,8.374914564919496e-07,8.374914564919496e-07,0.009852840664611172
240,0.017359736682366036,2.3844763997774567e-05,0.008015046721940866,0.08694284102459748,9.471702581842881e-05,0.0063675311474574725,0.10450970320929237,8.33504544202968e-05,0.004669493244834566,8.739041285133389e-07,8.739041285133389e-07,0.010281225041333398
250,0.017353913931456792,2.4834631652346113e-05,0.00834777534532627,0.08691971045940491,9.864922190116541e-05,0.006631880463943918,0.10448919702553838,8.683650565847356e-05,0.004864790232967708,9.103168005347279e-07,9.103168005347279e-07,0.010709609418055622
260,0.017348092907095998,2.58242057936811e-05,0.00868040530880021,0.08689658930163609,0.00010257981872186642,0.0068961222670161915,0.10446867496018829,9.032525676798983e-05,0.005060238474397183,9.467294725561171e-07,9.467294725561171e-07,0.011137993794777848
270,0.017342273609553083,2.6813486375976626e-05,0.00901293659696678,0.08687347779134441,0.00010650877547145123,0.0071602538132068405,0.10444813615114824,9.381685430479795e-05,0.0052558461795404465,9.831421445775064e-07,9.831421445775064e-07,0.011566378171500075
280,0.017336456039097475,2.780247335342979e-05,0.009345369194430075,0.08685037616858331,0.00011043605134083927,0.0074242723590479676,0.10442757973632441,9.731144482485015e-05,0.005451621558815067,1.0195548165988954e-06,1.0195548165988954e-06,0.011994762548222298
290,0.017330640196413852,2.8791166609645872e-05,0.009677703062065723,0.08682728196619727,0.0001143620657464658,0.007688206100602724,0.10440701538247082,0.00010080738497996026,0.005647472547896881,1.0559674886202843e-06,1.0559674886202843e-06,0.01242314692494452
300,0.017324826081798417,2.9779566094269802e-05,0.010009938182947709,0.08680419238300074,0.00011828729488987458,0.007952087051420142,0.10438645401009519,0.00010430281828381678,0.0058432951419504775,1.0923801606416736e-06,1.0923801606416736e-06,0.012851531301666747
310,0.017319013694890268,3.0767671868655206e-05,0.01034207457769909,0.08678110740312502,0.00012221174146874976,0.008215915392857043,0.10436589568337004,0.0001077977338270915,0.006039088729809072,1.1287928326630626e-06,1.1287928326630626e-06,0.013279915678388972
320,0.01731320303532838,3.175548399417632e-05,0.01067411226694992,0.08675802701132594,0.00012613540807459106,0.008479691299132175,0.10434534046403604,0.00011129212111387211,0.006234852723466244,1.1652055046844517e-06,1.1652055046844517e-06,0.013708300055111195
330,0.017307394102751724,3.274300253220736e-05,0.011006051271330142,0.08673495119235944,0.0001300582972988982,0.008743414944463623,0.10432478841383384,0.00011478596964824641,0.006430586534915683,1.201618176705841e-06,1.201618176705841e-06,0.014136684431833422
340,0.01730158689679928,3.3730227544122586e-05,0.011337891611469697,0.08671187993098135,0.00013398041173317096,0.00900708650307036,0.1043042395945041,0.00011827926893430211,0.006626289576151301,1.23803084872723e-06,1.23803084872723e-06,0.014565068808555647
350,0.017295781417110027,3.471715909129621e-05,0.011669633307998528,0.0866888132119476,0.00013790175396890901,0.00927070614917036,0.10428369406778748,0.00012177200847612697,0.006821961259166787,1.274443520748619e-06,1.274443520748619e-06,0.01499345318527787
360,0.01728997766332293,3.5703797235102465e-05,0.012001276381547021,0.08666575102001406,0.00014182232659761213,0.009534274056982261,0.10426315189542465,0.00012526417777780874,0.0070176009959557195,1.3108561927700081e-06,1.3108561927700081e-06,0.015421837562000095
370,0.017284175635076972,3.6690142036915584e-05,0.012332820852744564,0.0866426933399366,0.00014574213221078,0.009797790400724704,0.10424261313915627,0.00012875576634343512,0.007213208198511678,1.3472688647913972e-06,1.3472688647913972e-06,0.01585022193872232
380,0.017278375332011122,3.76761935581098e-05,0.012664266742221653,0.08661964015647111,0.00014966117339991242,0.010061255354615994,0.10422207786072298,0.0001322467636770939,0.007408782278828796,1.3836815368127865e-06,1.3836815368127865e-06,0.016278606315444547
390,0.01727257675376436,3.8661951860059355e-05,0.012995614070608008,0.08659659145437348,0.00015357945275650906,0.01032466909287455,0.10420154612186545,0.0001357371592828728,0.00760432264890043,1.4200942088341755e-06,1.4200942088341755e-06,0.01670699069216677
400,0.01726677989997566,3.964741700413846e-05,0.013326862858533794,0.0865735472183996,0.00015749697287206969,0.0105880317897189,0.10418101798432436,0.00013922694266485958,0.007799828720720381,1.4565068808555646e-06,1.4565068808555646e-06,0.017135375068888993
410,0.017260984770283996,4.063258905172136e-05,0.013658013126628843,0.08655050743330533,0.00016141373633809402,0.010851343619367682,0.10416049350984034,0.000142716103327142,0.00799529990628245,1.4929195528769537e-06,1.4929195528769537e-06,0.01756375944561122
420,0.017255191364328345,4.161746806418229e-05,0.013989064895523207,0.08652747208384659,0.00016532974574608183,0.011114604756039093,0.10413997276015406,0.00014620463077380776,0.008190735617580325,1.529332224898343e-06,1.529332224898343e-06,0.017992143822333447
430,0.017249399681747678,4.2602054102895466e-05,0.01432001818584705,0.08650444115477923,0.0001692450036875328,0.011377815373951772,0.10411945579700621,0.00014969251450894463,0.008386135266607475,1.565744896919732e-06,1.565744896919732e-06,0.01842052819905567
440,0.017243609722180975,4.358634722923514e-05,0.014650873018230093,0.08648141463085915,0.00017315951275394668,0.011640975647324137,0.1040989426821374,0.00015317974403664036,0.008581498265358034,1.6021575689411213e-06,1.6021575689411213e-06,0.018848912575777896
450,0.017237821485267205,4.457034750457552e-05,0.01498162941330261,0.08645839249684223,0.0001770732755368232,0.011904085750374604,0.10407843347728833,0.00015666630886098265,0.008776824025825358,1.6385702409625101e-06,1.6385702409625101e-06,0.019277296952500116
460,0.017232034970645353,4.5554054990290856e-05,0.015312287391694213,0.08643537473748435,0.00018098629462766212,0.012167145857321815,0.10405792824419965,0.00016015219848605932,0.008972111960003248,1.6749829129838994e-06,1.6749829129838994e-06,0.019705681329222343
470,0.017226250177954386,4.6537469747755375e-05,0.015642846974035174,0.0864123613375414,0.0001848985726179631,0.012430156142384075,0.10403742704461201,0.00016363740241595804,0.009167361479885616,1.7113955850052885e-06,1.7113955850052885e-06,0.02013406570594457
480,0.017220467106833278,4.75205918383433e-05,0.01597330818095566,0.08638935228176926,0.00018881011209922596,0.012693116779779912,0.10401692994026608,0.0001671219101547666,0.009362571997465818,1.7478082570266775e-06,1.7478082570266775e-06,0.020562450082666793
490,0.017214685756921012,4.850342132342888e-05,0.016303671033085054,0.08636634755492384,0.00019272091566295037,0.012956027943727633,0.10399643699290251,0.0001706057112065727,0.009557742924737989,1.7842209290480666e-06,1.7842209290480666e-06,0.020990834459389016
500,0.017208906127856555,4.9485958264386344e-05,0.01663393555105408,0.08634334714176098,0.00019663098590063608,0.0132188898084461,0.10397594826426197,0.00017408879507546416,0.009752873673695484,1.8206336010694559e-06,1.8206336010694559e-06,0.021419218836111243
510,0.01720312821927889,5.046820272258991e-05,0.016964101755492234,0.08632035102703658,0.00020054032540378289,0.013481702548153396,0.10395546381608513,0.00017757115126552865,0.009947963656332104,1.857046273090845e-06,1.857046273090845e-06,0.02184760321283347
520,0.017197352030826982,5.145015475941381e-05,0.01729416966702968,0.08629735919550653,0.0002044489367638904,0.013744466337068273,0.10393498371011262,0.00018105276928085393,0.010143012284641761,1.893458945112234e-06,1.893458945112234e-06,0.022275987589555693
530,0.017191577562139813,5.243181443623229e-05,0.01762413930629647,0.08627437163192672,0.00020835682257245843,0.014007181349409037,0.10391450800808513,0.00018453363862552775,0.010338018970617702,1.929871617133623e-06,1.929871617133623e-06,0.022704371966277916
540,0.01718580481285636,5.341318181441957e-05,0.01795401069392233,0.08625138832105303,0.00021226398542098672,0.014269847759393994,0.1038940367717433,0.00018801374880363786,0.01053298312625417,1.9662842891550123e-06,1.9662842891550123e-06,0.023132756343000143
550,0.017180033782615595,5.439425695534988e-05,0.018283783850537527,0.08622840924764133,0.00021617042790097497,0.014532465741242007,0.10387357006282781,0.00019149308931927202,0.010727904163544633,2.002696961176401e-06,2.002696961176401e-06,0.023561140719722366
560,0.01717426447105649,5.5375039920397463e-05,0.01861345879677201,0.08620543439644753,0.00022007615260392292,0.01479503546917127,0.10385310794307931,0.00019497164967651796,0.01092278149448278,2.0391096331977904e-06,2.0391096331977904e-06,0.023989525096444593
