shear_rate,J_pred_10,J_pred_180,J_pred_300
20000.0,8.896931059015451e-06,6.0380012222368415e-06,1.1078138514135979e-05
20500.0,8.970462749437148e-06,6.188951252792762e-06,1.135509197698938e-05
21000.0,9.042808315216223e-06,6.339901283348683e-06,1.1632045439842779e-05
21500.0,9.114014462053225e-06,6.490851313904605e-06,1.1908998902696178e-05
22000.0,9.184125020807809e-06,6.641801344460525e-06,1.218595236554958e-05
22500.0,9.253181185333044e-06,6.792751375016446e-06,1.2462905828402979e-05
23000.0,9.32122172581885e-06,6.943701405572367e-06,1.2739859291256378e-05
23500.0,9.388283180640979e-06,7.094651436128288e-06,1.3016812754109777e-05
24000.0,9.454400029289695e-06,7.245601466684209e-06,1.3293766216963178e-05
24500.0,9.519604848597148e-06,7.396551497240131e-06,1.3570719679816576e-05
25000.0,9.583928454182497e-06,7.547501527796052e-06,1.3847673142669975e-05
25500.0,9.64740002877945e-06,7.698451558351973e-06,1.4124626605523376e-05
26000.0,9.710047238894772e-06,7.849401588907894e-06,1.4401580068376775e-05
26500.0,9.771896341061604e-06,8.000351619463815e-06,1.4678533531230174e-05
27000.0,9.832972278793472e-06,8.151301650019735e-06,1.4955486994083574e-05
27500.0,9.89329877120907e-06,8.302251680575656e-06,1.5232440456936975e-05
28000.0,9.952898394181118e-06,8.453201711131578e-06,1.5509393919790372e-05
28500.0,1.001179265476136e-05,8.6041517416875e-06,1.5786347382643773e-05
29000.0,1.007000205954656e-05,8.755101772243419e-06,1.6063300845497174e-05
29500.0,1.012754617757415e-05,8.90605180279934e-06,1.634025430835057e-05
30000.0,1.0184443698270085e-05,9.057001833355262e-06,1.661720777120397e-05
30500.0,1.0240712484913765e-05,9.207951863911183e-06,1.689416123405737e-05
31000.0,1.0296369624034236e-05,9.358901894467103e-06,1.717111469691077e-05
31500.0,1.0351431471107708e-05,9.509851925023024e-06,1.744806815976417e-05
32000.0,1.0405913692887264e-05,9.660801955578946e-06,1.772502162261757e-05
32500.0,1.0459831306661605e-05,9.811751986134867e-06,1.800197508547097e-05
