L,shear_rate,J_pred_10,J_pred_180,J_pred_300,J_flux,yield,phi_w_10,phi_w_180,phi_w_300
0.2,20000.0,6.575880256650905e-06,6.575865220101426e-06,6.575879488597629e-06,6.575865220101426e-06,0.8364693314867493,0.1466265778689845,0.5654162576000433,0.20475398567357334
0.2,20500.0,6.717595808838182e-06,6.715354694439327e-06,6.715305609541238e-06,6.715305609541238e-06,0.8269260861971427,0.1517677699498852,0.560361774156183,0.2038261000427667
0.2,21000.0,6.858845039877099e-06,6.858844801281125e-06,6.858881257578502e-06,6.858844801281125e-06,0.7941042390068005,0.15731575091844197,0.556389339468718,0.203094959409728
0.2,21500.0,6.998048033883872e-06,6.998029718299721e-06,6.9980811301285744e-06,6.998029718299721e-06,0.7665320348645699,0.16274997499631447,0.5518034509642636,0.2022465742642468
0.2,22000.0,7.135670622612347e-06,7.135679445615878e-06,7.135695108524082e-06,7.135670622612347e-06,0.7335761303699087,0.16823511627585702,0.5471791261487572,0.2013859022030865
0.2,22500.0,7.271712323523679e-06,7.271616831872401e-06,7.271633871806572e-06,7.271616831872401e-06,0.6950837091000683,0.17376137667204797,0.5424926572548544,0.20051144669303808
0.2,23000.0,7.406233790519243e-06,7.4062278886551485e-06,7.406256387977774e-06,7.4062278886551485e-06,0.6477923167901234,0.17934313572592356,0.537818293923954,0.1996339599823537
0.2,23500.0,7.539155998168893e-06,7.539147080354586e-06,7.539169656103836e-06,7.539147080354586e-06,0.5929173318119627,0.18495637385921845,0.5330973786116537,0.1987463481832021
0.2,24000.0,7.670441104045245e-06,7.670401202180545e-06,7.670408074822849e-06,7.670401202180545e-06,0.5302211684535523,0.19059397847846196,0.5283415801965703,0.1978469542295125
0.2,24500.0,7.800017461752789e-06,7.799545363524313e-06,7.799604538564468e-06,7.799545363524313e-06,0.4645168810784137,0.1962235554329883,0.5234870771166773,0.19692608877796947
0.2,25000.0,7.928284972082952e-06,7.928280150820637e-06,7.928288725202061e-06,7.928280150820637e-06,0.37857851849246893,0.2019613452974174,0.5188060474734977,0.19603103443328204
0.2,25500.0,8.054789314215772e-06,8.054791236007723e-06,8.054793720434494e-06,8.054789314215772e-06,0.2946874576405417,0.20766829574702164,0.514017798770736,0.1951132400257201
0.2,26000.0,8.179621184459832e-06,8.179633233711283e-06,8.179758376578335e-06,8.179621184459832e-06,0.2112922795945955,0.21338086701523448,0.5092127028194564,0.19418776267899276
0.2,26500.0,8.303006223456161e-06,8.302996989086616e-06,8.303046460558094e-06,8.302996989086616e-06,0.1318675064406838,0.21911140314781938,0.5044250211695299,0.19326363152323245
0.2,27000.0,8.424371024557102e-06,8.424341075122556e-06,8.425046183738794e-06,8.424341075122556e-06,0.06900513644979323,0.22480858408563842,0.49958107840623234,0.19232009051555443
0.2,27500.0,8.544369836350767e-06,8.544829134835603e-06,8.544364799728995e-06,8.544364799728995e-06,0.022642091604226477,0.23051992763443802,0.49478190293063756,0.19138380747274192
0.2,28000.0,9.676508543158053e-06,8.654770660125417e-06,9.676534404058632e-06,8.654770660125417e-06,0.02634102370298519,0.23553238295027074,0.48895741867061454,0.19023991220541106
0.2,28500.0,9.849285398902573e-06,8.76246908778943e-06,9.849329661273967e-06,8.76246908778943e-06,0.03594044956910025,0.24041266577015014,0.48306355399514617,0.18907693807909
0.2,29000.0,1.0022081361438172e-05,8.867373231025026e-06,1.0022124918489296e-05,8.867373231025026e-06,0.05466038957827224,0.24513708422549976,0.4771010949601801,0.1878903456804508
0.2,29500.0,1.019487600586091e-05,8.969426247827885e-06,1.0194920175704631e-05,8.969426247827885e-06,0.08625838382070827,0.24969625317292649,0.47107466932541264,0.1866866235322105
0.2,30000.0,1.036768441858319e-05,9.068556691877173e-06,1.0367715432919964e-05,9.068556691877173e-06,0.13528328611621665,0.2540762587489619,0.46498720033630886,0.1854636370882987
0.2,30500.0,1.0540463393485993e-05,9.16472069649201e-06,1.0540510690135295e-05,9.16472069649201e-06,0.20517620056251462,0.25826156117085336,0.45884483135089377,0.18421926528453544
0.2,31000.0,1.0713273995322322e-05,9.257825957981298e-06,1.0713305947350629e-05,9.257825957981298e-06,0.2963079788066961,0.26223572084423086,0.45264827084109205,0.18295404207690616
0.2,31500.0,1.0886061975139339e-05,9.347836308470803e-06,1.0886101204565963e-05,9.347836308470803e-06,0.4030238612824194,0.26599123642842165,0.4464045030674755,0.18167355253989412
0.2,32000.0,1.1058848465178829e-05,9.434679839026076e-06,1.1058896461781295e-05,9.434679839026076e-06,0.516131623318187,0.26950921598518696,0.44011656647839853,0.18037554612236864
0.2,32500.0,1.123164226909762e-05,9.518290801801241e-06,1.1231691718996626e-05,9.518290801801241e-06,0.6240452438291919,0.27278063574986605,0.4337882313543712,0.17905507471038665
0.2,33000.0,1.1404455019383649e-05,9.598602068776663e-06,1.1404486976211962e-05,9.598602068776663e-06,0.7172282344570975,0.2757902444704065,0.4274231746188253,0.17772183373022304
