Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2_{V_2},Added Buffer,Diavolumes
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
10,0.009993245076942062,1.1483369198495462e-06,0.0006754923057938505,0.049979820902479516,3.430446578483042e-06,0.00040358195040976957,0.059981370435914755,3.167025894490368e-06,0.00031049273475395765,1.866666666666667e-07,1.866666666666667e-07,0.0021960784313725494
20,0.009986491575910514,2.29643209521258e-06,0.0013508424089485763,0.04995964875438848,6.85971175396008e-06,0.0008070249122305975,0.05996260152517889,6.357740719587541e-06,0.0006233079136850531,3.7333333333333334e-07,3.7333333333333334e-07,0.004392156862745098
30,0.009979739482826417,3.4442879195092287e-06,0.00202605171735837,0.04993945711898368,1.0292289772776011e-05,0.0012108576203265894,0.05994397612573724,9.524058624667462e-06,0.0009337312377124963,5.6e-07,5.6e-07,0.006588235294117647
40,0.009972988777940289,4.591907750150844e-06,0.002701122205971084,0.04991923585403266,1.3729904814448597e-05,0.0016152829193468935,0.05992558897824116,1.2649873699002793e-05,0.0012401836959806658,7.466666666666668e-07,7.466666666666668e-07,0.008784313725490198
50,0.009966239398314137,5.739302286596726e-06,0.0033760601685863087,0.04989898486027621,1.7172573753044693e-05,0.0020203027944758457,0.05990741510710695,1.5739431791817863e-05,0.0015430815482174373,9.333333333333334e-07,9.333333333333334e-07,0.010980392156862745
60,0.009959491244261818,6.886488475490903e-06,0.004050875573818178,0.04987872167698011,2.0617314913382334e-05,0.0024255664603979213,0.05988923420967726,1.8830184354864e-05,0.0018460965053788234,1.12e-06,1.12e-06,0.013176470588235295
70,0.009952744320497142,8.033465515485755e-06,0.004725567950285738,0.04985844752249093,2.4063921176542133e-05,0.0028310495501814273,0.05987103359909436,2.1924288153957488e-05,0.0021494400150938713,1.3066666666666667e-06,1.3066666666666667e-06,0.015372549019607842
80,0.009945998635322143,9.18023199523564e-06,0.005400136467785669,0.04983816291717033,2.751230408104517e-05,0.003236741656593549,0.059852809132751955,2.502244743216599e-05,0.0024531811208005874,1.4933333333333336e-06,1.4933333333333336e-06,0.017568627450980395
90,0.009939254197038854,1.0326786503394909e-05,0.0060745802961146515,0.049817868381379936,3.0962375165412536e-05,0.0036426323724014745,0.05983455666804377,2.812536643255717e-05,0.0027573888659369774,1.68e-06,1.68e-06,0.01976470588235294
100,0.009932511013949307,1.1473127628617923e-05,0.006748898605069366,0.04979756443548139,3.441404596816532e-05,0.00404871129037239,0.05981627206236353,3.1233749398198706e-05,0.00306213229394105,1.8666666666666669e-06,1.8666666666666669e-06,0.02196078431372549
110,0.009925769094355535,1.2619253959559032e-05,0.007423090564446489,0.049777251599836335,3.7867228027824604e-05,0.004454968003273482,0.05979795117310494,3.4348300572158245e-05,0.003367480448250808,2.0533333333333337e-06,2.0533333333333337e-06,0.024156862745098043
120,0.009919028446559572,1.3765164084872596e-05,0.008097155344042702,0.04975693039480641,4.1321832882911476e-05,0.004861392103871938,0.059779589857661734,3.746972419750347e-05,0.0036735023723042616,2.24e-06,2.24e-06,0.02635294117647059
130,0.009912289078863453,1.4910856593212968e-05,0.008771092113654686,0.04973660134075326,4.477777207194701e-05,0.005267973184934941,0.059761183973427626,4.059872451730202e-05,0.003980267109539414,2.4266666666666666e-06,2.4266666666666666e-06,0.028549019607843135
140,0.00990555099956921,1.6056330073234505e-05,0.00944490004307912,0.04971626495803852,4.823495713345231e-05,0.005674700839229682,0.05974272937779634,4.37360057746216e-05,0.004287843703394275,2.6133333333333334e-06,2.6133333333333334e-06,0.030745098039215685
150,0.009898814216978873,1.720158311359156e-05,0.010118578302112682,0.04969592176702384,5.169329960594845e-05,0.006081564659523346,0.05972422192816158,4.688227221252985e-05,0.0045963011973068485,2.8000000000000003e-06,2.8000000000000003e-06,0.03294117647058824
160,0.00989207873939448,1.8346614302938494e-05,0.010792126060552054,0.04967557228807085,5.5152711027956514e-05,0.006488554238583118,0.059705657481917085,5.003822807409443e-05,0.004905708634715141,2.986666666666667e-06,2.986666666666667e-06,0.03513725490196079
170,0.009885344575118062,1.9491422229929656e-05,0.011465542488193913,0.049655217041541196,5.8613102937997606e-05,0.006895659169176187,0.05968703189645656,5.3204577602383024e-05,0.005216135059057159,3.173333333333334e-06,3.173333333333334e-06,0.037333333333333336
180,0.00987861173245165,2.0636005483219412e-05,0.012138826754834946,0.04963485654779652,6.20743868745928e-05,0.007302869044069741,0.05966834102917374,5.638202504046329e-05,0.005527649513770911,3.360000000000001e-06,3.360000000000001e-06,0.03952941176470589
190,0.009871880219697282,2.1780362651462105e-05,0.012811978030271825,0.04961449132719846,6.553647437626317e-05,0.00771017345603096,0.05964958073746233,5.9571274631402895e-05,0.005840321042294401,3.5466666666666677e-06,3.5466666666666677e-06,0.04172549019607844
200,0.009865150045156987,2.292449232331209e-05,0.013484995484301227,0.04959412190010865,6.899927698152982e-05,0.008117561997827035,0.05963074687871606,6.277303061826949e-05,0.006154218688065637,3.7333333333333346e-06,3.7333333333333346e-06,0.043921568627450995
210,0.009858421217132802,2.4068393087423737e-05,0.014157878286719843,0.04957374878688875,7.246270622891382e-05,0.008525024262225154,0.05961183531032863,6.598799724413077e-05,0.006469411494522625,3.920000000000001e-06,3.920000000000001e-06,0.046117647058823534
220,0.009851693743926757,2.5212063532451386e-05,0.014830625607324344,0.04955337250790038,7.592667365693627e-05,0.008932549841992501,0.05959284188969379,6.921687875205437e-05,0.00678596850510337,4.1066666666666674e-06,4.1066666666666674e-06,0.04831372549019609
