Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2_{V_2},Added Buffer,Diavolumes
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
10,0.009990530367166617,1.609837581675238e-06,0.0009469632833383752,0.04995940774704021,6.900683003164281e-06,0.0008118450591957977,0.05996638052780743,5.715310272736867e-06,0.0005603245365428301,1.3333333333333336e-07,1.3333333333333336e-07,0.0015686274509803923
20,0.009981067760217132,3.2184807630875828e-06,0.001893223978286813,0.04991883858230524,1.3797441008109112e-05,0.0016232283538951894,0.059932771743971644,1.1428803524819845e-05,0.0011204709338058672,2.666666666666667e-07,2.666666666666667e-07,0.0031372549019607846
30,0.009971612191390275,4.825927463653509e-06,0.002838780860972652,0.049878292462798964,2.069028132417702e-05,0.0024341507440208254,0.05989917359643434,1.714048860616274e-05,0.0016804400594277195,4.000000000000001e-07,4.000000000000001e-07,0.004705882352941177
40,0.009962163660914755,6.432177644491936e-06,0.003783633908524668,0.04983776939084222,2.7579203556823058e-05,0.0032446121831556534,0.059865586078508795,2.2850366653504548e-05,0.0022402320248533867,5.333333333333333e-07,5.333333333333333e-07,0.006274509803921568
50,0.009952722165453445,8.037231872914542e-06,0.004727783454655613,0.04979726936878172,3.44642073071079e-05,0.004054612624365635,0.05983200920214318,2.8558435635658403e-05,0.002799846630946902,6.666666666666667e-07,6.666666666666667e-07,0.00784313725490196
60,0.009943287702522046,9.641090571252238e-06,0.005671229747795434,0.04975679239853901,4.134529224836817e-05,0.004864152029219784,0.05979844297575198,3.426469412216323e-05,0.0033592837374669835,8.000000000000002e-07,8.000000000000002e-07,0.009411764705882354
70,0.009933860269867005,1.1243754122609266e-05,0.006613973013299567,0.04971633848199888,4.822245806019066e-05,0.00567323036002243,0.05976488740662112,3.996914087440913e-05,0.003918543222981287,9.333333333333335e-07,9.333333333333335e-07,0.010980392156862747
80,0.009924439865234766,1.2845222910089878e-05,0.007556013476523456,0.0496759076210461,5.50957044221622e-05,0.006481847579077905,0.05973134250203655,4.567177465378623e-05,0.004477624966057474,1.066666666666667e-06,1.066666666666667e-06,0.012549019607843138
90,0.009915026486371777,1.4445497316798316e-05,0.008497351362822538,0.04963549981756547,6.196503101386961e-05,0.007290003648690541,0.059697808269284204,5.137259422168461e-05,0.005036528845263197,1.2e-06,1.2e-06,0.014117647058823528
