Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2,Added Buffer,Diavolumes
0,0.01,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
10,0.009991986228834756,1.3623410980916183e-06,0.0008013771165244813,0.049967102976986345,5.592493912322552e-06,0.0006579404602732413,0.059972132614463505,4.737455541203621e-06,0.00046445642560819807,1.1293613443042552e-07,1.1293613443042552e-07,0.0013286604050638294
20,0.009983979306577621,2.7235178818043885e-06,0.0016020693422378752,0.04993423779620598,1.1179574644983798e-05,0.0013152440758804466,0.05994421343827507,9.48371549323788e-06,0.0009297760287488118,2.2587226886085106e-07,2.2587226886085106e-07,0.0026573208101276593
30,0.009975979234784802,4.0835300865836345e-06,0.0024020765215197848,0.04990136839243899,1.676737328537163e-05,0.0019726321512201915,0.0599164749994913,1.419925008647926e-05,0.0013920833418116921,3.3880840329127666e-07,3.3880840329127666e-07,0.00398598121519149
40,0.009967986007032753,5.44237880443208e-06,0.003201399296724753,0.04986848212958502,2.235803797054733e-05,0.002630357408299685,0.0598889975416854,1.887041791348244e-05,0.0018500409719100432,4.517445377217021e-07,4.517445377217021e-07,0.005314641620255318
50,0.009959999540037767,6.800078193579657e-06,0.004000045996223327,0.049835606538623026,2.794688843408698e-05,0.0032878692275396444,0.05986159501300594,2.3528847788989773e-05,0.002306749783234291,5.646806721521276e-07,5.646806721521276e-07,0.006643302025319148
60,0.00995201981050495,8.156632214158366e-06,0.00479801894950492,0.04980275188315987,3.353217986282329e-05,0.003944962336802739,0.05983419923544809,2.818612997382417e-05,0.002763346075865115,6.776168065825531e-07,6.776168065825531e-07,0.007971962430382977
70,0.009944046818730944,9.512040815739687e-06,0.005595318126905698,0.049769918753906704,3.9113811835860774e-05,0.004601624921865973,0.059806806799918476,3.284284401385853e-05,0.0032198866680253455,7.905529410129786e-07,7.905529410129786e-07,0.009300622835446807
80,0.009936080565012382,1.08663039478951e-05,0.006391943498761822,0.049737107741574686,4.469168393230401e-05,0.005257845168506353,0.059779414297323724,3.7499569454965714e-05,0.0036764283779378145,9.034890754434044e-07,9.034890754434044e-07,0.010629283240510639
90,0.009928121049645905,1.2219421560196086e-05,0.0071878950354094615,0.049704319436874964,5.02656957312575e-05,0.005913611262500881,0.05975201831857047,4.215688584301864e-05,0.004133028023825357,1.0164252098738299e-06,1.0164252098738299e-06,0.011957943645574468
100,0.009920168272928152,1.3571393602214124e-05,0.007983172707184778,0.049671554430518676,5.5835746811825796e-05,0.006568911389626564,0.059724615454565345,4.681537272389019e-05,0.004589742423910803,1.1293613443042554e-06,1.1293613443042554e-06,0.013286604050638298
110,0.009912222235155761,1.4922220023520696e-05,0.008777776484423938,0.049638813313216984,6.140173675311344e-05,0.007223733735660403,0.05969720229621498,5.1475609643453224e-05,0.005046628396416983,1.242297478734681e-06,1.242297478734681e-06,0.014615264455702128
120,0.00990428293662537,1.6271900773687283e-05,0.009571706337463105,0.049606096675681034,6.696356513422497e-05,0.007878066486379407,0.05966977543442599,5.613817614758067e-05,0.005503742759566732,1.3552336131651064e-06,1.3552336131651064e-06,0.015943924860765957
130,0.009896350377633615,1.7620435802285363e-05,0.010364962236638447,0.04957340510862197,7.25211315342649e-05,0.008531897827560576,0.05964233146010502,6.08036517821454e-05,0.005961142331582883,1.4681697475955317e-06,1.4681697475955317e-06,0.017272585265829785
140,0.00988842455847714,1.896782505888642e-05,0.011157544152286128,0.049540739202750955,7.80743355323378e-05,0.009185215944980918,0.0596148669641587,6.54726160930203e-05,0.0064188839306882645,1.5811058820259573e-06,1.5811058820259573e-06,0.018601245670893614
150,0.009880505479452578,2.031406849306194e-05,0.011949452054742316,0.04950809954877913,8.362307670754819e-05,0.009838009024417432,0.05958737853749366,7.014564862607825e-05,0.006877024375105711,1.694042016456383e-06,1.694042016456383e-06,0.019929906075957446
160,0.009872593140856568,2.1659166054383382e-05,0.012740685914343164,0.04947548673741765,8.916725463900058e-05,0.010490265251647125,0.05955986277101651,7.482332892719214e-05,0.007335620483058053,1.8069781508868083e-06,1.8069781508868083e-06,0.02125856648102127
170,0.009864687542985752,2.300311769242225e-05,0.013531245701424851,0.04944290135937766,9.47067689057996e-05,0.011141972812447009,0.05953231625563391,7.950623654223488e-05,0.007794729072768125,1.919914285317234e-06,1.919914285317234e-06,0.022587226886085103
180,0.009856788686136765,2.4345923356750013e-05,0.014321131386323535,0.0494103440053703,0.00010024151908704969,0.011793119892594078,0.05950473558225247,8.419495101707935e-05,0.008254406962458759,2.0328504197476598e-06,2.0328504197476598e-06,0.023915887291148935
190,0.009848896570606247,2.5687582996938153e-05,0.015110342939375384,0.04937781526610674,0.00010577140476185542,0.01244369467786534,0.05947711734177883,8.889005189759841e-05,0.008714710970352785,2.1457865541780853e-06,2.1457865541780853e-06,0.025244547696212767
200,0.009841011196690834,2.702809656255816e-05,0.015898880330916566,0.04934531573229811,0.00011129632550932136,0.013093685354037805,0.05944945812511961,9.3592118729665e-05,0.009175697914673039,2.258722688608511e-06,2.258722688608511e-06,0.026573208101276596
210,0.009833132564687168,2.8367464003181494e-05,0.01668674353128323,0.04931284599465558,0.00011681618090855197,0.013743080106888466,0.05942175452318146,9.830173105915196e-05,0.009637424613642347,2.3716588230389363e-06,2.3716588230389363e-06,0.027901868506340424
