Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2_{V_2},Added Buffer,Diavolumes
0,0.015,0.0,0.0,0.07500000000000001,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
10,0.014991432354600856,1.4564997178542648e-06,0.0005711763599428489,0.0749642779853473,6.072742490963539e-06,0.0004762935287030225,0.08996933713859497,5.21268643885511e-06,0.00034069846005588955,6.771900345482293e-08,6.771900345482293e-08,0.0007966941582920343
20,0.014982868830772399,2.912298768692311e-06,0.0011420779485067885,0.07492856913819318,1.2143246507162265e-05,0.0009524114907578245,0.08993868143008443,1.0424156885644718e-05,0.0006813174435061907,1.3543800690964588e-07,1.3543800690964588e-07,0.0015933883165840691
30,0.014974309434475265,4.367396139205002e-06,0.001712704368315687,0.07489287343481313,1.821151608177076e-05,0.001428354202491824,0.0899080328492066,1.563441563487656e-05,0.0010218572310376835,2.031570103644688e-07,2.031570103644688e-07,0.0023900824748761033
40,0.014965754165830706,5.821791808779827e-06,0.0022830556112862065,0.07485719087428247,2.4277551371984482e-05,0.0019041216762340765,0.08987739139135925,2.0843463468925364e-05,0.0013623178737859718,2.7087601381929176e-07,2.7087601381929176e-07,0.0031867766331681383
50,0.014957203022662235,7.27548614741971e-06,0.0028531318225175333,0.07482152145561545,3.034135254537727e-05,0.0023797139251276285,0.08984675706163578,2.605129952191445e-05,0.0017026993151578072,3.385950172741147e-07,3.385950172741147e-07,0.003983470791460173
60,0.014948656003482283,8.728479408011712e-06,0.003422933101181063,0.07478586517783024,3.6402919768862555e-05,0.002855130962263729,0.08981612986245588,3.1257923382498585e-05,0.0020430015282678813,4.0631402072893767e-07,4.0631402072893767e-07,0.004780164949752207
70,0.01494011310711698,1.0180771790113251e-05,0.003992459525534608,0.07475022203995135,4.246225320827478e-05,0.003330372800649002,0.08978550979494765,3.6463334858897304e-05,0.0023832245005815235,4.7403302418376054e-07,4.7403302418376054e-07,0.005576859108044241
80,0.01493157433239246,1.1632363493281745e-05,0.004561711173835979,0.07471459204100327,4.851935302944837e-05,0.003805439453290067,0.08975489686023921,4.166753375933016e-05,0.0027233682195640626,5.417520276385835e-07,5.417520276385835e-07,0.0063735532663362765
90,0.014923039678134855,1.3083254717074608e-05,0.005130688124342983,0.0746789751800105,5.457421939821777e-05,0.00428033093319355,0.08972429105945871,4.687051989201669e-05,0.0030634326726808295,6.094710310934065e-07,6.094710310934065e-07,0.007170247424628311
