Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,180nm_retentate,180nm_permeate,180nm_cumulative_yield,300nm_retentate,300nm_permeate,300nm_cumulative_yield,V2_{V_2},Added Buffer,Diavolumes
0,0.015,0.0,0.0,0.07500000000000001,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
10,0.01499127006813564,1.4840884169411364e-06,0.000581995457623975,0.07496431241842215,6.066888868235971e-06,0.00047583442103811525,0.08996952480951557,5.180782382352722e-06,0.00033861322760475306,6.420032751504435e-08,6.420032751504435e-08,0.0007552979707652276
20,0.014982544677165708,2.967404881829726e-06,0.0011636881889528338,0.07492863867875185,1.2131424612186425e-05,0.0009514842833087389,0.0899390572354152,1.0360269979415984e-05,0.000677141828719999,1.2840065503008868e-07,1.2840065503008868e-07,0.001510595941530455
30,0.014973823825164354,4.449949722059587e-06,0.0017450783223763088,0.07489297875505387,1.819361164084494e-05,0.001426949932615289,0.08990859728172644,1.553846210650549e-05,0.00101558575859513,1.9260098254513305e-07,1.9260098254513305e-07,0.0022658939122956827
40,0.014965107506969675,5.931723815155219e-06,0.0023261662020216544,0.07485733264531934,2.4253450295714354e-05,0.0019022313957423019,0.08987814497194123,2.0715354769991434e-05,0.0013539447562085905,2.5680131006017736e-07,2.5680131006017736e-07,0.00302119188306091
50,0.014956395723306957,7.412727037817267e-06,0.002906951779536183,0.07482170034739993,3.031094094201359e-05,0.0023773287013343987,0.08984770028757844,2.5890951111666284e-05,0.0016922190269062932,3.2100163757522175e-07,3.2100163757522175e-07,0.003776489853826138
60,0.014947688473194528,8.892959556930145e-06,0.003487435120364763,0.0747860818592403,3.636608392915203e-05,0.002852241876796237,0.08981726322324916,3.1065252047642016e-05,0.002030408630564838,3.8520196509026604e-07,3.8520196509026604e-07,0.004531787824591365
70,0.014938985754844796,1.0372421676384675e-05,0.004067616343680264,0.07475047717881149,4.2418879602049996e-05,0.0033269709491803912,0.08978683377943866,3.623825749542715e-05,0.002368513561792624,4.4940229260531043e-07,4.4940229260531043e-07,0.005287085795356593
80,0.014930287566470166,1.1851113700071673e-05,0.004647495568655558,0.07471488630408456,4.84693283056278e-05,0.003801515945539434,0.08975641195663217,4.14099673725302e-05,0.002706533815198053,5.136026201203548e-07,5.136026201203548e-07,0.006042383766121821
90,0.014921593906283047,1.3329035931881964e-05,0.005227072914463515,0.07467930923303057,5.451743038480572e-05,0.004275876892925938,0.08972599775531494,4.658038159645969e-05,0.0030444693853895225,5.778029476353991e-07,5.778029476353991e-07,0.006797681736887048
100,0.014912904772495844,1.4806188675706366e-05,0.005806348500277006,0.07464374596362057,6.0563186184504096e-05,0.004750053818392478,0.0896955911759722,5.174950008472414e-05,0.0033823202669754342,6.420032751504435e-07,6.420032751504435e-07,0.007552979707652276
110,0.014904220163320967,1.6282572235435693e-05,0.006385322445268899,0.07460819649382563,6.660659604964321e-05,0.005224046748991623,0.08966519221908922,5.691732275483208e-05,0.003720086454564189,7.062036026654879e-07,7.062036026654879e-07,0.008308277678417504
120,0.014895540076970819,1.7758186914960772e-05,0.006963994868612068,0.07457266082161682,7.26476603251434e-05,0.0056978557117759515,0.08963480088515122,6.2083849524292e-05,0.004057767942764184,7.704039301805323e-07,7.704039301805323e-07,0.009063575649182733
130,0.01488686451165781,1.923303301817242e-05,0.0075423658894793804,0.07453713894496516,7.868637935592491e-05,0.006171480733798031,0.08960441717464346,6.724908031061243e-05,0.004395364726183819,8.346042576955766e-07,8.346042576955766e-07,0.00981887361994796
140,0.014878193465594344,2.0707110848961463e-05,0.00812043562704371,0.07450163086184172,8.472275348690811e-05,0.0066449218421104385,0.08957404108805116,7.24130150313019e-05,0.004732876799431497,8.98804585210621e-07,8.98804585210621e-07,0.010574171590713187
150,0.014869526936992832,2.2180420711218715e-05,0.008698204200477929,0.07446613657021758,9.075678306301329e-05,0.007118179063765746,0.08954367262585959,7.757565360386895e-05,0.005070304157115618,9.630049127256652e-07,9.630049127256652e-07,0.011329469561478412
160,0.014860864924065676,2.3652962908834993e-05,0.0092756717289549,0.07443065606806377,9.678846842916073e-05,0.007591252425816526,0.08951331178855398,8.273699594582203e-05,0.005407646793844577,1.0272052402407097e-06,1.0272052402407097e-06,0.012084767532243641
170,0.014852207425025287,2.512473774570112e-05,0.009852838331647497,0.07439518935335136,0.00010281780993027076,0.008064141955315351,0.08948295857661959,8.789704197466973e-05,0.0057449047042267805,1.091405567755754e-06,1.091405567755754e-06,0.012840065503008868
180,0.014843554438084071,2.6595745525707926e-05,0.010429704127728598,0.0743597364240514,0.00010884480791126369,0.008536847679314797,0.08945261299054164,9.305579160792053e-05,0.006082077882870623,1.1556058952707982e-06,1.1556058952707982e-06,0.013595363473774096
190,0.014834905961454434,2.806598655274621e-05,0.011006269236371062,0.07432429727813496,0.00011486946271705979,0.009009369624867432,0.0894222750308054,9.821324476308297e-05,0.006419166324384508,1.2198062227858427e-06,1.2198062227858427e-06,0.014350661444539324
200,0.014826261993348784,2.953546113070681e-05,0.01158253377674777,0.07428887191357307,0.00012089177469257942,0.009481707819025834,0.08939194469789608,0.00010336940135766553,0.006756170023376833,1.284006550300887e-06,1.284006550300887e-06,0.015105959415304552
210,0.014817622531979525,3.100416956348053e-05,0.01215849786803158,0.07425346032833682,0.00012691174418274283,0.009953862288842572,0.08936162199229895,0.00010852426130917675,0.007093088974455997,1.348206877815931e-06,1.348206877815931e-06,0.015861257386069777
220,0.014808987575559068,3.247211215495821e-05,0.012734161629395375,0.07421806252039724,0.0001329293715324704,0.010425833061370226,0.08933130691449925,0.00011367782453512518,0.007429923172230405,1.4124072053309756e-06,1.4124072053309756e-06,0.016616555356835004
230,0.01480035712229982,3.393928920903066e-05,0.013309525180012022,0.0741826784877254,0.00013894465708668238,0.01089762016366136,0.08930099946498224,0.00011883009095301935,0.007766672611308455,1.47660753284602e-06,1.47660753284602e-06,0.017371853327600235
240,0.014791731170414183,3.54057010295887e-05,0.01388458863905439,0.07414730822829237,0.00014495760119029904,0.01136922362276855,0.08927069964423312,0.00012398106048036768,0.008103337286298543,1.5408078603610644e-06,1.5408078603610644e-06,0.018127151298365462
250,0.014783109718114569,3.687134792052314e-05,0.014459352125695348,0.07411195174006918,0.0001509682041882408,0.011840643465744373,0.08924040745273717,0.00012913073303467878,0.00843991719180907,1.6050081878761089e-06,1.6050081878761089e-06,0.018882449269130692
260,0.014774492763613383,3.833623018572481e-05,0.015033815759107769,0.0740766090210269,0.00015697646642542784,0.012311879719641396,0.08921012289097964,0.00013427910853346114,0.00877641232244844,1.669208515391153e-06,1.669208515391153e-06,0.019637747239895916
270,0.014765880305123031,3.980034812908454e-05,0.015607979658464523,0.0740412800691366,0.00016298238824678056,0.012782932411512198,0.08917984595944574,0.0001394261868942233,0.009112822672825052,1.733408842906197e-06,1.733408842906197e-06,0.02039304521066114
280,0.014757272340855922,4.126370205449313e-05,0.01618184394293848,0.07400596488236931,0.00016898596999721923,0.013253801568409348,0.08914957665862074,0.00014457196803447373,0.009449148237547304,1.7976091704212417e-06,1.7976091704212417e-06,0.02114834318142637
290,0.014748668869024461,4.272629226584141e-05,0.016755408731702514,0.0739706634586961,0.00017498721202166415,0.01372448721738542,0.08911931498898987,0.00014971645187172102,0.009785389011223597,1.8618094979362862e-06,1.8618094979362862e-06,0.0219036411521916
300,0.014740069887841057,4.41881190670202e-05,0.01732867414392949,0.07393537579608804,0.00018098611466503564,0.014194989385492986,0.08908906095103838,0.0001548596383234736,0.010121544988462326,1.9260098254513303e-06,1.9260098254513303e-06,0.022658939122956825
310,0.014731475395518116,4.564918276192032e-05,0.017901640298792282,0.07390010189251617,0.000186982678272254,0.014665308099784623,0.08905881454525152,0.00016000152730724003,0.010457616163871898,1.990210152966375e-06,1.990210152966375e-06,0.023414237093722055
320,0.014722885390268043,4.7109483654432583e-05,0.018474307315463758,0.07386484174595155,0.00019297690318823953,0.0151354433873129,0.08902857577211454,0.00016514211874052887,0.01079360253206071,2.054410480481419e-06,2.054410480481419e-06,0.02416953506448728
330,0.014714299870303248,4.856902204844782e-05,0.019046675313116792,0.07382959535436523,0.00019896878975791255,0.015605395275130392,0.08899834463211265,0.0001702814125408486,0.011129504087637163,2.118610807996463e-06,2.118610807996463e-06,0.024924833035252503
340,0.014705718833836137,5.0027798247856847e-05,0.019618744410924253,0.07379436271572828,0.00020495833832619333,0.016075163790289667,0.08896812112573113,0.00017541940862570772,0.011465320825209655,2.1828111355115075e-06,2.1828111355115075e-06,0.025680131006017733
350,0.014697142279079114,5.148581255655047e-05,0.02019051472805901,0.07375914382801177,0.00021094554923800228,0.01654474895984331,0.0889379052534552,0.00018055610691261479,0.01180105273938659,2.247011463026552e-06,2.247011463026552e-06,0.026435428976782964
360,0.01468857019552482,5.294306676078064e-05,0.020761986965012014,0.07372393870101539,0.00021693042082738783,0.017014150653128453,0.08890769703290606,0.00018569150440596896,0.012136699634377057,2.311211790541596e-06,2.311211790541596e-06,0.027190726947548188
370,0.014680002540978544,5.439956803364736e-05,0.02133316393476367,0.07368874738788515,0.00022291294405952632,0.017483368161531475,0.08887749654429063,0.00019082558747059262,0.01247226061899298,2.3754121180566405e-06,2.3754121180566405e-06,0.027946024918313415
380,0.014671439308667046,5.585531752660199e-05,0.021904046088863524,0.07365356989421086,0.00022889311798415766,0.017952401410522165,0.08884730379863602,0.00019595835423187374,0.012807735570710702,2.4396124455716846e-06,2.4396124455716846e-06,0.028701322889078642
390,0.01466288049690819,5.7310315525607715e-05,0.022474633539454003,0.0736184062187036,0.00023487094282039235,0.018421250417285668,0.08881711879698846,0.00020108980451196017,0.013143124477905894,2.503812773086729e-06,2.503812773086729e-06,0.02945662085984387
400,0.014654326104019837,5.876456231662771e-05,0.023044926398677532,0.07358325636007448,0.00024084641878734098,0.01888991519900713,0.08878694154039411,0.00020621993813299972,0.013478427328954231,2.5680131006017736e-06,2.5680131006017736e-06,0.0302119188306091
410,0.014645776128319852,6.021805818562517e-05,0.023614924778676535,0.07354812031703464,0.00024681954610411403,0.019358395772871684,0.08875677202989916,0.00021134875491714026,0.013813644112231389,2.6322134281168177e-06,2.6322134281168177e-06,0.030967216801374323
420,0.0146372305681261,6.167080341856327e-05,0.02418462879159344,0.07351299808829519,0.00025279032498982213,0.019826692156064477,0.08872661026654982,0.0002164762546865296,0.014148774816113046,2.696413755631862e-06,2.696413755631862e-06,0.031722514772139554
430,0.01462868942175644,6.312279830140519e-05,0.02475403854957066,0.07347788967256721,0.00025875875566357576,0.020294804365770643,0.08869645625139225,0.0002216024372633156,0.014483819428974878,2.7606140831469067e-06,2.7606140831469067e-06,0.03247781274290478
440,0.01462015268752874,6.457404312011412e-05,0.025323154164750634,0.07344279506856187,0.0002647248383444855,0.02076273241917533,0.08866630998547266,0.00022672730246964614,0.01481877793919256,2.8248144106619508e-06,2.8248144106619508e-06,0.03323311071367001
450,0.014611620363760864,6.602453816065326e-05,0.02589197574927579,0.07340771427499024,0.0002706885732516619,0.021230476333463675,0.08863617146983722,0.00023185085012766897,0.015153650335141764,2.8890147381769953e-06,2.8890147381769953e-06,0.033988408684435235
